uf,setor_bndes,porte_do_cliente,ano,valor_contratado_reais,valor_desembolsado_reais,valor_contratado_ajustado,valor_desembolsado_ajustado,media_juros,media_prazo_carencia_meses,media_prazo_amortizacao_meses,num_empregados
AC,INDUSTRIA,GRANDE,2002,605515.2,612000.0,1195596.0,1208401.0,4.0,18.0,66.0,
AC,INDUSTRIA,GRANDE,2005,25059451.9,25712810.3,33504343.0,34377879.0,3.5,18.0,102.0,
AC,INDUSTRIA,GRANDE,2008,55073532.0,51807339.7,64184654.0,60378117.0,2.0,30.0,90.0,
AC,INFRAESTRUTURA,GRANDE,2007,32048964.0,32110602.6,40890361.0,40969004.0,2.0,24.0,96.0,
AC,INFRAESTRUTURA,GRANDE,2008,60759000.0,60936725.7,70810700.0,71017828.0,2.0,30.0,162.0,
AL,AGROPECUARIA,GRANDE,2014,12350000.0,12350000.0,9962536.0,9962536.0,2.0,36.0,84.0,
AL,INDUSTRIA,GRANDE,2010,524711000.0,515924907.5,524711000.0,515924908.0,2.33,28.3,76.3,88698.0
AL,INDUSTRIA,GRANDE,2011,85272847.0,85609704.5,82618512.0,82942843.0,2.43,21.0,78.0,89384.0
AL,INDUSTRIA,GRANDE,2013,310544000.0,310503000.0,271373073.0,271337245.0,2.58,16.5,78.5,75011.0
AL,INDUSTRIA,GRANDE,2014,31448000.0,27569009.4,25368572.0,22239455.0,3.82,16.0,90.0,64447.0
AL,INDUSTRIA,GRANDE,2015,25678000.0,24444242.6,18739068.0,17838707.0,4.44,12.0,72.0,59575.0
AL,INDUSTRIA,MEDIA,2014,1784000.0,435087.4,1439123.0,350978.0,4.5,18.0,102.0,9120.0
AL,INFRAESTRUTURA,GRANDE,2002,51475000.0,52744954.6,106844365.0,109480353.0,2.9,30.0,120.0,
AL,INFRAESTRUTURA,GRANDE,2003,91383653.3,98025890.9,141298258.0,151568548.0,1.0,10.0,24.0,
AL,INFRAESTRUTURA,GRANDE,2005,12216000.0,11922045.2,16484794.0,16088120.0,2.75,9.0,72.0,
AL,INFRAESTRUTURA,GRANDE,2010,2363755.5,2277454.5,2438922.0,2349877.0,3.2,3.0,60.0,
AL,INFRAESTRUTURA,GRANDE,2019,284845600.0,200000000.0,168968820.0,118638883.0,2.21,18.0,220.0,
AM,INDUSTRIA,GRANDE,2002,35894000.8,35868918.2,74503579.0,74451516.0,3.33,16.0,56.0,25232.0
AM,INDUSTRIA,GRANDE,2005,85044899.0,85349534.2,114116322.0,114525124.0,5.33,12.0,12.0,53191.0
AM,INDUSTRIA,GRANDE,2006,63000000.0,63087644.8,84451294.0,84568781.0,4.0,12.0,24.0,53124.0
AM,INDUSTRIA,GRANDE,2008,18368000.0,18376613.3,21406721.0,21416759.0,3.8,18.0,18.0,57393.0
AM,INDUSTRIA,GRANDE,2010,84100000.0,84100000.0,90400518.0,90400518.0,2.18,24.0,66.0,61226.0
AM,INDUSTRIA,GRANDE,2012,30313000.0,29200000.0,26751436.0,25769206.0,2.42,16.0,64.0,72513.0
AM,INDUSTRIA,GRANDE,2013,228266810.0,224418713.1,196508960.0,193233868.0,2.13,15.4,54.9,80833.0
AM,INDUSTRIA,GRANDE,2014,70600000.0,70600388.3,58146395.0,58146715.0,1.07,24.0,60.0,70881.0
AM,INFRAESTRUTURA,GRANDE,2002,43658776.7,44707846.9,82277322.0,84254354.0,4.68,21.0,138.0,
AM,INFRAESTRUTURA,GRANDE,2004,65983096.6,46888826.9,92156161.0,65487904.0,5.08,22.5,180.0,
AM,INFRAESTRUTURA,GRANDE,2005,800000000.0,800000000.0,1075326412.0,1075326412.0,4.5,12.0,1.0,
AM,INFRAESTRUTURA,GRANDE,2006,15312440.7,15249808.5,20186570.0,20104001.0,3.7,12.0,180.0,
AM,INFRAESTRUTURA,GRANDE,2007,2489500000.0,2491252385.3,2990873736.0,2992979044.0,1.96,38.0,46.0,
AM,INFRAESTRUTURA,GRANDE,2008,400000000.0,400912120.3,458797938.0,459844135.0,3.0,36.0,84.0,
AM,INFRAESTRUTURA,GRANDE,2009,80000000.0,80070152.3,87853275.0,87930321.0,3.41,18.0,126.0,
AM,INFRAESTRUTURA,GRANDE,2010,879428000.0,879428000.0,954036883.0,954036883.0,2.38,11.0,65.0,
AM,INFRAESTRUTURA,GRANDE,2012,237378794.0,214979235.1,215327733.0,195430265.0,2.5,30.0,92.8,
AM,INFRAESTRUTURA,GRANDE,2013,35011000.0,29126164.5,29283742.0,24361574.0,3.28,6.0,136.0,
AM,INFRAESTRUTURA,GRANDE,2014,178864100.0,179939157.6,145182379.0,146054993.0,2.75,24.0,124.8,
AM,INFRAESTRUTURA,GRANDE,2018,30000000.0,30000000.0,19387242.0,19387242.0,2.25,24.0,36.0,
AM,INFRAESTRUTURA,GRANDE,2019,16581916.1,21243347.5,10139643.0,12990052.0,3.57,12.0,180.0,
AM,INFRAESTRUTURA,MEDIA,2002,9223532.1,11238950.8,18211963.0,22191430.0,6.0,15.0,240.0,
AM,INFRAESTRUTURA,MEDIA,2005,782340.0,658827.5,1045984.0,880849.0,4.1,18.0,180.0,
AM,INFRAESTRUTURA,PEQUENA,2005,3133087.4,3058704.4,4188920.0,4089470.0,4.1,18.0,180.0,
AP,INDUSTRIA,GRANDE,2007,431535057.7,425270038.7,536801874.0,529008593.0,4.23,30.0,66.0,643.0
AP,INFRAESTRUTURA,GRANDE,2007,90372825.6,73601006.5,112417986.0,91554921.0,3.9,30.0,66.0,
AP,INFRAESTRUTURA,GRANDE,2012,652439210.9,630208798.4,576874881.0,557122726.0,2.83,12.8,185.1,
AP,INFRAESTRUTURA,GRANDE,2014,501500000.0,491547589.7,407063032.0,398984751.0,2.12,34.0,240.0,
BA,AGROPECUARIA,GRANDE,2002,9881000.0,7118855.9,18621279.0,13415869.0,4.5,30.0,66.0,9324.0
BA,AGROPECUARIA,GRANDE,2003,2380024.0,2418273.4,3751902.0,3812199.0,4.0,36.0,72.0,10320.0
BA,AGROPECUARIA,GRANDE,2005,6187444.3,6200000.0,8289264.0,8306085.0,3.5,24.0,60.0,11825.0
BA,AGROPECUARIA,GRANDE,2012,400684000.0,301499822.4,362101088.0,271736967.0,2.26,84.0,24.0,8316.0
BA,AGROPECUARIA,MICRO,2002,41379301.9,41379301.9,85889174.0,85889174.0,9.75,41.0,84.0,32010.0
BA,INDUSTRIA,GRANDE,2002,312996029.0,338064879.9,617292046.0,667158111.0,2.62,19.7,63.7,35757.0
BA,INDUSTRIA,GRANDE,2003,11723190.3,11770516.1,18230504.0,18297031.0,5.17,14.0,62.0,37602.0
BA,INDUSTRIA,GRANDE,2004,1607872876.2,1583892605.5,2424435480.0,2388232003.0,2.66,38.4,60.6,45189.0
BA,INDUSTRIA,GRANDE,2005,781357926.8,765298594.0,1044206394.0,1022742176.0,3.73,18.5,54.0,52583.0
BA,INDUSTRIA,GRANDE,2006,1825014037.1,1795863038.8,2427703460.0,2389279595.0,2.09,54.9,54.5,57686.0
BA,INDUSTRIA,GRANDE,2007,487276772.0,470070526.5,606737886.0,585639312.0,1.59,17.1,58.3,66910.0
BA,INDUSTRIA,GRANDE,2008,722790855.8,779664874.7,823934201.0,886515363.0,3.8,13.8,43.2,68073.0
BA,INDUSTRIA,GRANDE,2009,226265637.0,180875855.8,250631276.0,200363929.0,2.62,15.0,73.5,80930.0
BA,INDUSTRIA,GRANDE,2010,176457301.7,161663313.9,190124810.0,174036215.0,2.73,16.0,61.2,88429.0
BA,INDUSTRIA,GRANDE,2012,2448873779.5,2594976516.2,2191952906.0,2322113254.0,2.38,20.2,63.9,87359.0
BA,INDUSTRIA,GRANDE,2013,979994000.2,843391154.2,837372482.0,720942390.0,2.48,18.5,56.4,87182.0
BA,INDUSTRIA,GRANDE,2014,354470000.0,320593139.2,287624323.0,260085685.0,2.91,28.5,51.4,84802.0
BA,INDUSTRIA,GRANDE,2015,215227724.2,155189042.5,171160129.0,123248251.0,3.02,26.2,52.9,77539.0
BA,INDUSTRIA,GRANDE,2016,19340000.0,9329957.4,13303202.0,6417699.0,2.26,84.0,24.0,80083.0
BA,INDUSTRIA,GRANDE,2017,251292000.0,183010619.8,174208319.0,126652201.0,2.1,48.0,42.0,81441.0
BA,INDUSTRIA,MEDIA,2018,10427200.0,5026000.0,6738488.0,3248009.0,3.53,24.0,72.0,66520.0
BA,INDUSTRIA,MICRO,2003,4754848.1,4862730.5,7476254.0,7645663.0,3.25,21.0,75.0,29174.0
BA,INFRAESTRUTURA,GRANDE,2002,736759637.5,746143638.9,1378810674.0,1398022557.0,2.38,22.2,82.8,
BA,INFRAESTRUTURA,GRANDE,2003,346934379.1,347541689.7,545589828.0,546509732.0,2.17,15.3,109.2,
BA,INFRAESTRUTURA,GRANDE,2005,201983626.1,170950657.8,272425049.0,230415981.0,4.27,3.8,74.2,
BA,INFRAESTRUTURA,GRANDE,2006,1460297690.8,1321344274.4,1891792811.0,1711909811.0,3.9,11.8,35.4,
BA,INFRAESTRUTURA,GRANDE,2007,4511663030.0,4507047194.3,5420291008.0,5414745565.0,2.06,15.0,67.2,
BA,INFRAESTRUTURA,GRANDE,2008,28380036.0,28559658.1,33537654.0,33741315.0,1.97,16.0,52.0,
BA,INFRAESTRUTURA,GRANDE,2009,516107480.6,484837204.4,571224563.0,536593280.0,2.43,20.5,125.0,
BA,INFRAESTRUTURA,GRANDE,2010,444240000.0,434929999.9,447554122.0,438044081.0,2.92,14.5,30.5,
BA,INFRAESTRUTURA,GRANDE,2011,1299525343.0,1280175342.4,1263680464.0,1244789748.0,1.9,22.1,158.8,
BA,INFRAESTRUTURA,GRANDE,2012,1982300528.9,1877547452.9,1766804766.0,1673876317.0,2.87,17.8,110.0,
BA,INFRAESTRUTURA,GRANDE,2013,2020343500.0,1861496542.4,1756558990.0,1618453582.0,3.31,18.7,77.0,
BA,INFRAESTRUTURA,GRANDE,2014,2201868091.9,1813205276.1,1789354937.0,1474783438.0,2.72,13.5,177.1,
BA,INFRAESTRUTURA,GRANDE,2015,3409503325.9,3419745019.9,2525933032.0,2533409888.0,2.12,8.4,194.5,
BA,INFRAESTRUTURA,GRANDE,2016,562779333.3,557561902.9,387667830.0,384063639.0,2.73,11.1,191.2,
BA,INFRAESTRUTURA,GRANDE,2017,4086530246.0,4027325788.4,2818047457.0,2776673906.0,2.27,17.5,189.0,
BA,INFRAESTRUTURA,GRANDE,2018,3389052613.5,2454109486.5,2206694573.0,1609296314.0,2.17,13.4,175.6,
BA,INFRAESTRUTURA,GRANDE,2019,2240362563.2,2240362563.2,1375634766.0,1375634766.0,2.51,4.4,196.0,
BA,INFRAESTRUTURA,GRANDE,2020,2153000000.0,1190958801.9,1176425721.0,664080825.0,2.37,13.9,238.7,
BA,INFRAESTRUTURA,MEDIA,2003,4813835.3,4484980.3,7361651.0,6858743.0,6.0,19.0,144.0,
BA,INFRAESTRUTURA,MEDIA,2005,329496.9,312255.3,444931.0,421649.0,6.0,15.0,144.0,
BA,INFRAESTRUTURA,MEDIA,2007,2148608.1,2150029.9,2741348.0,2743162.0,4.8,6.0,60.0,
BA,INFRAESTRUTURA,MEDIA,2011,297380000.0,297379999.8,282958152.0,282958152.0,1.82,16.5,172.0,
BA,INFRAESTRUTURA,MEDIA,2016,9237000.0,9291004.5,6322024.0,6358986.0,2.95,18.0,21.0,
BA,INFRAESTRUTURA,MEDIA,2019,66746000.0,65399078.9,40542900.0,39724753.0,2.97,0.0,114.0,
BA,INFRAESTRUTURA,MICRO,2015,39330125.0,39353248.9,29281511.0,29298727.0,2.65,6.0,192.0,
BA,INFRAESTRUTURA,PEQUENA,2008,8021075.0,7783439.6,9482387.0,9201459.0,3.71,33.0,201.0,
CE,AGROPECUARIA,GRANDE,2002,2149851.0,2194069.8,3900419.0,3980644.0,4.0,18.0,78.0,3864.0
CE,AGROPECUARIA,MEDIA,2017,28726923.1,28750686.4,20093888.0,20110510.0,4.32,24.0,36.0,9320.0
CE,INDUSTRIA,GRANDE,2002,76515864.6,80607377.0,150588527.0,158344225.0,5.33,13.4,23.0,67500.0
CE,INDUSTRIA,GRANDE,2003,7143000.0,7158634.4,11345439.0,11370272.0,6.75,7.0,17.0,74535.0
CE,INDUSTRIA,GRANDE,2004,35000000.0,35044060.0,47964427.0,48024807.0,3.5,12.0,12.0,80174.0
CE,INDUSTRIA,GRANDE,2005,77965000.0,78215753.2,104435361.0,104771314.0,5.33,12.0,12.0,76566.0
CE,INDUSTRIA,GRANDE,2006,2549763.9,2497572.0,3403583.0,3333914.0,2.53,18.0,48.0,84115.0
CE,INDUSTRIA,GRANDE,2007,133991277.7,134075584.2,161875285.0,161974165.0,1.95,15.6,57.6,90315.0
CE,INDUSTRIA,GRANDE,2009,70000000.0,70000000.0,77926200.0,77926200.0,3.5,12.0,24.0,100969.0
CE,INDUSTRIA,GRANDE,2010,16570000.0,2900000.0,18117310.0,3170802.0,1.88,18.0,66.0,102683.0
CE,INDUSTRIA,GRANDE,2012,11050000.0,10225000.0,9912854.0,9172753.0,1.82,18.0,52.0,99347.0
CE,INDUSTRIA,GRANDE,2014,232300000.0,168371651.6,187739844.0,136048933.0,2.86,24.0,69.3,100464.0
CE,INDUSTRIA,GRANDE,2015,2319930868.9,2422762830.0,1813107459.0,1893474249.0,1.55,21.3,124.0,96165.0
CE,INDUSTRIA,GRANDE,2016,12165000.0,3649500.0,8777861.0,2633358.0,3.2,24.0,60.0,94621.0
CE,INDUSTRIA,GRANDE,2017,114828000.0,112905611.7,80296696.0,78951998.0,3.57,13.0,58.0,95675.0
CE,INDUSTRIA,GRANDE,2020,2433900.0,2433900.0,1179098.0,1179098.0,1.34,24.0,36.0,
CE,INDUSTRIA,MICRO,2003,1170000.0,1196244.6,1858345.0,1900031.0,5.62,18.0,60.0,27939.0
CE,INFRAESTRUTURA,GRANDE,2002,329733124.2,346251944.2,681920390.0,715970611.0,2.0,32.4,67.8,
CE,INFRAESTRUTURA,GRANDE,2003,158587000.0,234909090.4,251888441.0,373113085.0,5.14,13.0,25.9,
CE,INFRAESTRUTURA,GRANDE,2004,83525000.0,80030830.2,122852419.0,117713034.0,5.5,12.0,42.0,
CE,INFRAESTRUTURA,GRANDE,2005,144045020.0,137152219.2,193603665.0,184339397.0,1.5,34.0,114.0,
CE,INFRAESTRUTURA,GRANDE,2006,88564138.0,84601014.6,117395087.0,112141819.0,2.0,27.0,93.0,
CE,INFRAESTRUTURA,GRANDE,2008,402233927.5,359282059.0,461226599.0,411171172.0,3.41,20.0,104.6,
CE,INFRAESTRUTURA,GRANDE,2009,1944378024.0,1937305977.2,2159735969.0,2151863402.0,2.33,21.9,142.5,
CE,INFRAESTRUTURA,GRANDE,2010,1034258056.9,1015925971.0,1064584735.0,1045926744.0,2.56,26.1,101.6,
CE,INFRAESTRUTURA,GRANDE,2011,480101000.0,456771035.2,468705541.0,445929323.0,3.56,17.3,161.9,
CE,INFRAESTRUTURA,GRANDE,2012,358000000.0,357999999.8,325743968.0,325743968.0,1.88,12.0,192.0,
CE,INFRAESTRUTURA,GRANDE,2013,374407380.1,372277642.6,324740974.0,322877077.0,1.46,7.7,162.4,
CE,INFRAESTRUTURA,GRANDE,2014,2295688110.9,1552052523.2,1889617825.0,1278270974.0,2.06,10.2,181.6,
CE,INFRAESTRUTURA,GRANDE,2015,428530854.0,386653601.5,320426499.0,288976781.0,3.7,5.9,111.7,
CE,INFRAESTRUTURA,GRANDE,2016,827685000.0,803880687.3,573693934.0,557403858.0,1.92,11.6,191.0,
CE,INFRAESTRUTURA,GRANDE,2017,791225000.0,791060223.1,537261312.0,537149429.0,2.43,3.7,190.9,
CE,INFRAESTRUTURA,GRANDE,2019,205226572.0,152636269.0,123803743.0,91889835.0,2.02,3.4,161.4,
CE,INFRAESTRUTURA,MEDIA,2015,656922000.0,656731199.4,489017481.0,488874897.0,2.86,16.2,174.0,
CE,INFRAESTRUTURA,MEDIA,2018,26800000.0,26818636.4,17660157.0,17672729.0,3.0,18.0,42.0,
CE,INFRAESTRUTURA,MICRO,2012,191567800.0,191567799.9,169059940.0,169059940.0,2.4,21.0,1.0,
CE,INFRAESTRUTURA,MICRO,2014,252708800.0,250728062.3,207127510.0,205504040.0,2.02,1.2,192.0,
DF,AGROPECUARIA,GRANDE,2010,30000000.0,30000000.0,32494407.0,32494407.0,5.54,12.0,24.0,645.0
DF,INDUSTRIA,GRANDE,2005,25000000.0,25164732.9,33877799.0,34101031.0,9.0,12.0,12.0,14964.0
DF,INDUSTRIA,GRANDE,2018,34909000.0,20000000.0,22402840.0,12834994.0,1.55,24.0,1.0,15157.0
DF,INFRAESTRUTURA,GRANDE,2002,310334000.0,300747069.0,535252455.0,518717274.0,6.5,0.0,62.6,
DF,INFRAESTRUTURA,GRANDE,2004,1885585592.1,1850161376.9,2678093199.0,2627715004.0,4.28,16.7,107.3,
DF,INFRAESTRUTURA,GRANDE,2006,1954335625.0,1962156022.3,2537994054.0,2548149998.0,3.97,30.0,60.0,
DF,INFRAESTRUTURA,GRANDE,2009,260318000.0,257304983.2,289637367.0,286284997.0,1.9,30.0,162.0,
DF,INFRAESTRUTURA,GRANDE,2013,799152640.6,795375217.3,702881639.0,699559268.0,2.08,12.0,57.8,
DF,INFRAESTRUTURA,GRANDE,2014,680327375.8,875950064.2,563465948.0,725682633.0,4.85,19.7,114.0,
DF,INFRAESTRUTURA,GRANDE,2017,150000000.0,150000000.0,102674205.0,102674205.0,3.14,26.0,166.0,
ES,AGROPECUARIA,MEDIA,2010,6176000.0,6101862.4,6505568.0,6427475.0,4.1,22.5,67.5,1870.0
ES,INDUSTRIA,GRANDE,2003,121234541.2,123331593.9,187453979.0,190696462.0,4.08,14.3,64.0,19352.0
ES,INDUSTRIA,GRANDE,2005,76287288.4,76473547.9,102560709.0,102811115.0,4.1,43.4,31.4,23773.0
ES,INDUSTRIA,GRANDE,2006,971242621.5,969656070.8,1261302290.0,1259241920.0,1.53,29.3,98.0,25365.0
ES,INDUSTRIA,GRANDE,2007,63981000.0,63493747.8,80262236.0,79652050.0,1.9,12.0,57.6,24887.0
ES,INDUSTRIA,GRANDE,2008,958727089.3,835285740.4,1049648369.0,914592151.0,2.41,33.0,83.0,27491.0
ES,INDUSTRIA,GRANDE,2009,113767000.0,92173302.5,126452052.0,102450652.0,4.5,26.6,61.7,29853.0
ES,INDUSTRIA,GRANDE,2010,315491939.0,279092452.7,336005991.0,297352067.0,2.48,25.6,52.9,28061.0
ES,INDUSTRIA,GRANDE,2012,43507000.0,34905000.0,39149260.0,31359991.0,4.0,15.0,60.0,32004.0
ES,INDUSTRIA,GRANDE,2013,127202585.0,116321584.9,109050379.0,99637027.0,4.74,11.5,58.0,33060.0
ES,INDUSTRIA,GRANDE,2014,24900000.0,23073000.0,20466770.0,18965052.0,6.0,6.0,60.0,34354.0
ES,INDUSTRIA,MEDIA,2005,7944000.0,7965410.0,10630288.0,10658951.0,3.5,12.0,12.0,26558.0
ES,INDUSTRIA,MEDIA,2018,10000000.0,10016855.0,6793653.0,6805104.0,5.07,12.0,48.0,36069.0
ES,INFRAESTRUTURA,GRANDE,2002,221558371.1,228705753.6,459603436.0,474430054.0,2.75,19.7,69.5,
ES,INFRAESTRUTURA,GRANDE,2003,42714463.2,46512713.7,65321918.0,71130466.0,1.0,9.0,24.0,
ES,INFRAESTRUTURA,GRANDE,2004,14392336.0,10416459.6,20346098.0,14725498.0,3.5,24.0,72.0,
ES,INFRAESTRUTURA,GRANDE,2005,901000000.0,908997739.5,1211710061.0,1222481955.0,3.35,26.0,42.5,
ES,INFRAESTRUTURA,GRANDE,2006,282712600.0,286015344.4,378591513.0,383018398.0,3.72,28.8,128.0,
ES,INFRAESTRUTURA,GRANDE,2007,50965164.0,48611021.5,61229311.0,58401055.0,2.87,12.0,80.0,
ES,INFRAESTRUTURA,GRANDE,2008,148544917.0,125746168.0,169960565.0,144129806.0,2.09,36.0,120.0,
ES,INFRAESTRUTURA,GRANDE,2009,725343262.4,658377297.1,806777823.0,732244689.0,3.22,24.8,118.7,
ES,INFRAESTRUTURA,GRANDE,2010,177168891.0,154044977.0,186623115.0,162265244.0,3.11,22.3,112.3,
ES,INFRAESTRUTURA,GRANDE,2011,90432461.0,41817766.9,85973878.0,39758281.0,2.14,18.2,72.0,
ES,INFRAESTRUTURA,GRANDE,2014,260198000.0,249592720.0,209897334.0,201342233.0,3.02,19.0,76.8,
ES,INFRAESTRUTURA,GRANDE,2017,354078000.0,174101000.0,246280009.0,121096469.0,2.96,13.3,50.0,
ES,INFRAESTRUTURA,GRANDE,2018,404898593.0,120981516.8,257057974.0,76457730.0,2.33,39.0,195.0,
ES,INFRAESTRUTURA,GRANDE,2020,350000000.0,13124859.2,202551275.0,7595591.0,3.76,61.0,227.0,
ES,INFRAESTRUTURA,MEDIA,2002,7783057.4,7790447.1,16145271.0,16160600.0,1.0,16.3,38.7,
ES,INFRAESTRUTURA,MEDIA,2012,57162600.0,57042698.6,53057624.0,52946334.0,2.51,48.0,102.0,
ES,INFRAESTRUTURA,MEDIA,2020,20580500.0,19551475.0,11440087.0,10868082.0,1.61,9.0,192.0,
GO,AGROPECUARIA,GRANDE,2007,13190000.0,13238144.6,16989672.0,17051685.0,2.78,84.0,84.0,3621.0
GO,AGROPECUARIA,GRANDE,2010,29464800.0,29395173.0,31914707.0,31839291.0,3.19,24.0,56.0,9465.0
GO,AGROPECUARIA,GRANDE,2013,63560000.0,63560000.0,55545244.0,55545244.0,3.64,18.0,54.0,8868.0
GO,AGROPECUARIA,GRANDE,2020,46501457.4,46501457.4,25704218.0,25704218.0,2.26,36.0,156.0,
GO,AGROPECUARIA,MEDIA,2002,15159610.0,16151360.7,27503687.0,29302994.0,4.5,18.0,60.0,3879.0
GO,INDUSTRIA,GRANDE,2002,8603000.0,8740656.8,17758643.0,18043582.0,4.33,10.0,52.0,30307.0
GO,INDUSTRIA,GRANDE,2003,19351572.0,18443128.6,29921580.0,28516937.0,3.55,6.0,72.0,34220.0
GO,INDUSTRIA,GRANDE,2004,79655109.1,81210485.1,114079541.0,116307101.0,6.42,18.0,62.0,41581.0
GO,INDUSTRIA,GRANDE,2005,376651706.0,369891843.4,507014372.0,498057551.0,3.08,15.1,59.6,47610.0
GO,INDUSTRIA,GRANDE,2006,391481168.2,390215267.2,517814870.0,516159174.0,2.51,23.0,64.6,54859.0
GO,INDUSTRIA,GRANDE,2007,1194858300.0,1059218291.0,1483959860.0,1317209806.0,2.86,23.5,81.5,63789.0
GO,INDUSTRIA,GRANDE,2008,2303545419.4,2214212497.9,2552376240.0,2453128987.0,3.57,12.8,80.5,66268.0
GO,INDUSTRIA,GRANDE,2009,1598888729.0,1579028153.8,1763519700.0,1741119427.0,3.59,38.9,95.5,67378.0
GO,INDUSTRIA,GRANDE,2010,416253248.0,392631247.9,454472295.0,428366832.0,3.97,17.6,58.0,76209.0
GO,INDUSTRIA,GRANDE,2011,351966213.0,287372862.8,334887243.0,273503778.0,2.76,24.0,69.8,87475.0
GO,INDUSTRIA,GRANDE,2012,340983756.0,223750567.2,305645643.0,201532548.0,4.51,25.0,57.1,92252.0
GO,INDUSTRIA,GRANDE,2013,164066301.2,163749472.6,140018570.0,139757286.0,3.27,14.7,49.3,100166.0
GO,INDUSTRIA,GRANDE,2014,315511279.3,297654227.2,256354315.0,241908939.0,4.24,16.0,61.1,106183.0
GO,INDUSTRIA,GRANDE,2015,279800000.0,278726791.5,212284184.0,211494753.0,4.37,10.3,57.6,101990.0
GO,INDUSTRIA,GRANDE,2016,36222815.0,33617794.1,24940310.0,23148665.0,3.7,18.0,54.0,94910.0
GO,INDUSTRIA,GRANDE,2017,20000000.0,20020915.5,13911060.0,13925608.0,4.6,18.0,42.0,98006.0
