Coluna;UF;IBGE Setor
Ano;11 - Rondônia;11 - Rondônia;11 - Rondônia;11 - Rondônia;11 - Rondônia;11 - Rondônia;11 - Rondônia;11 - Rondônia;11 - Rondônia;12 - Acre;12 - Acre;12 - Acre;12 - Acre;12 - Acre;12 - Acre;12 - Acre;12 - Acre;12 - Acre;13 - Amazonas;13 - Amazonas;13 - Amazonas;13 - Amazonas;13 - Amazonas;13 - Amazonas;13 - Amazonas;13 - Amazonas;13 - Amazonas;14 - Roraima;14 - Roraima;14 - Roraima;14 - Roraima;14 - Roraima;14 - Roraima;14 - Roraima;14 - Roraima;14 - Roraima;15 - Pará;15 - Pará;15 - Pará;15 - Pará;15 - Pará;15 - Pará;15 - Pará;15 - Pará;15 - Pará;16 - Amapá;16 - Amapá;16 - Amapá;16 - Amapá;16 - Amapá;16 - Amapá;16 - Amapá;16 - Amapá;16 - Amapá;17 - Tocantins;17 - Tocantins;17 - Tocantins;17 - Tocantins;17 - Tocantins;17 - Tocantins;17 - Tocantins;17 - Tocantins;17 - Tocantins;21 - Maranhão;21 - Maranhão;21 - Maranhão;21 - Maranhão;21 - Maranhão;21 - Maranhão;21 - Maranhão;21 - Maranhão;21 - Maranhão;22 - Piauí;22 - Piauí;22 - Piauí;22 - Piauí;22 - Piauí;22 - Piauí;22 - Piauí;22 - Piauí;22 - Piauí;23 - Ceará;23 - Ceará;23 - Ceará;23 - Ceará;23 - Ceará;23 - Ceará;23 - Ceará;23 - Ceará;23 - Ceará;24 - Rio Grande do Norte;24 - Rio Grande do Norte;24 - Rio Grande do Norte;24 - Rio Grande do Norte;24 - Rio Grande do Norte;24 - Rio Grande do Norte;24 - Rio Grande do Norte;24 - Rio Grande do Norte;24 - Rio Grande do Norte;25 - Paraíba;25 - Paraíba;25 - Paraíba;25 - Paraíba;25 - Paraíba;25 - Paraíba;25 - Paraíba;25 - Paraíba;25 - Paraíba;26 - Pernambuco;26 - Pernambuco;26 - Pernambuco;26 - Pernambuco;26 - Pernambuco;26 - Pernambuco;26 - Pernambuco;26 - Pernambuco;26 - Pernambuco;27 - Alagoas;27 - Alagoas;27 - Alagoas;27 - Alagoas;27 - Alagoas;27 - Alagoas;27 - Alagoas;27 - Alagoas;27 - Alagoas;28 - Sergipe;28 - Sergipe;28 - Sergipe;28 - Sergipe;28 - Sergipe;28 - Sergipe;28 - Sergipe;28 - Sergipe;28 - Sergipe;29 - Bahia;29 - Bahia;29 - Bahia;29 - Bahia;29 - Bahia;29 - Bahia;29 - Bahia;29 - Bahia;29 - Bahia;29 - Bahia;31 - Minas Gerais;31 - Minas Gerais;31 - Minas Gerais;31 - Minas Gerais;31 - Minas Gerais;31 - Minas Gerais;31 - Minas Gerais;31 - Minas Gerais;31 - Minas Gerais;32 - Espírito Santo;32 - Espírito Santo;32 - Espírito Santo;32 - Espírito Santo;32 - Espírito Santo;32 - Espírito Santo;32 - Espírito Santo;32 - Espírito Santo;32 - Espírito Santo;33 - Rio de Janeiro;33 - Rio de Janeiro;33 - Rio de Janeiro;33 - Rio de Janeiro;33 - Rio de Janeiro;33 - Rio de Janeiro;33 - Rio de Janeiro;33 - Rio de Janeiro;33 - Rio de Janeiro;35 - São Paulo;35 - São Paulo;35 - São Paulo;35 - São Paulo;35 - São Paulo;35 - São Paulo;35 - São Paulo;35 - São Paulo;35 - São Paulo;35 - São Paulo;41 - Paraná;41 - Paraná;41 - Paraná;41 - Paraná;41 - Paraná;41 - Paraná;41 - Paraná;41 - Paraná;41 - Paraná;41 - Paraná;42 - Santa Catarina;42 - Santa Catarina;42 - Santa Catarina;42 - Santa Catarina;42 - Santa Catarina;42 - Santa Catarina;42 - Santa Catarina;42 - Santa Catarina;42 - Santa Catarina;42 - Santa Catarina;43 - Rio Grande do Sul;43 - Rio Grande do Sul;43 - Rio Grande do Sul;43 - Rio Grande do Sul;43 - Rio Grande do Sul;43 - Rio Grande do Sul;43 - Rio Grande do Sul;43 - Rio Grande do Sul;43 - Rio Grande do Sul;50 - Mato Grosso do Sul;50 - Mato Grosso do Sul;50 - Mato Grosso do Sul;50 - Mato Grosso do Sul;50 - Mato Grosso do Sul;50 - Mato Grosso do Sul;50 - Mato Grosso do Sul;50 - Mato Grosso do Sul;50 - Mato Grosso do Sul;51 - Mato Grosso;51 - Mato Grosso;51 - Mato Grosso;51 - Mato Grosso;51 - Mato Grosso;51 - Mato Grosso;51 - Mato Grosso;51 - Mato Grosso;51 - Mato Grosso;52 - Goiás;52 - Goiás;52 - Goiás;52 - Goiás;52 - Goiás;52 - Goiás;52 - Goiás;52 - Goiás;52 - Goiás;53 - Distrito Federal;53 - Distrito Federal;53 - Distrito Federal;53 - Distrito Federal;53 - Distrito Federal;53 - Distrito Federal;53 - Distrito Federal;53 - Distrito Federal;53 - Distrito Federal;53 - Distrito Federal;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;{ñ class};Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;{ñ class};Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;{ñ class};Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;{ñ class};Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;{ñ class};Total;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;{ñ class};Total
2019;1240;35743;4457;9660;85230;85603;115130;13839;350902;39;6130;1580;5502;25619;33804;50883;3332;126889;2083;98718;6896;19115;100914;168876;200147;3420;600169;88;3110;1266;3575;19726;20712;52238;1668;102383;22035;79853;8076;61981;206789;310933;356141;49712;1095520;745;2812;1664;4816;24696;29951;63176;876;128736;881;15824;3568;7673;51085;64926;110362;22232;276551;1715;35222;4118;35624;151881;206312;302800;19842;757514;586;28444;5226;23166;93752;142946;165263;8922;468305;3039;233188;9732;61683;265017;521956;393287;21916;1509818;8496;56238;6570;27243;115488;198052;176293;18647;607027;1263;68445;7319;26793;108822;191886;235271;14927;654726;1576;208311;19236;60940;298028;576007;387541;50383;1602022;1232;63463;5947;23047;87029;143860;159191;9409;493178;3217;38969;6392;14856;66582;139347;78381;10362;358106;17288;215521;27036;108448;440900;779851;554840;88692;0;2232576;64185;763573;41918;272784;990672;1703693;855961;248530;4941316;11395;114144;9891;42333;195772;331844;176807;30458;912644;37434;361165;56478;163803;822657;1834615;739884;22413;4038449;16396;2352897;116691;542457;2725648;5988398;1589683;324961;0;13657131;5502;645884;26484;127366;672932;1104580;491254;97003;0;3171005;7209;679864;22449;100412;471582;780838;266566;40809;0;2369729;5617;636365;28179;110399;625900;1027058;442819;81284;2957621;2486;94113;7059;21642;130918;196239;144003;68286;664746;4551;106563;7942;32685;208761;219428;163957;124634;868521;7290;235376;11962;60453;299086;491539;324018;94580;1524304;250;39323;6892;43755;167904;550603;269652;5944;0;1084323;227838;7219258;455028;2012211;9453390;17843857;8865548;1477081;0;47554211
2018;1298;35929;4016;9588;82733;83034;114986;13551;345135;61;5804;1587;5373;25391;33589;50547;3952;126304;1884;95862;6104;18275;95477;170445;204489;4156;596692;92;2994;1454;4227;18749;22408;46624;1535;98083;20352;79466;8196;58881;202827;306538;356768;52518;1085546;647;3280;928;5481;24680;30846;65381;1000;132243;1053;16225;3331;9974;49900;63226;117960;21414;283083;1488;35990;7657;34477;148532;196172;303523;19304;747143;798;28823;5603;17748;89435;140353;163714;8794;455268;2835;230574;9360;56958;256392;502882;389991;22712;1471704;8123;55131;6365;23052;112988;194516;176191;18034;594400;1293;70778;7238;24595;104831;176981;239543;14145;639404;1650;203032;18888;62684;295736;569945;389346;53270;1594551;729;67706;4972;18124;87036;147566;156860;10865;493858;2685;42246;5732;14643;64093;137808;111411;10733;389351;16856;213725;24648;105515;432645;767226;610831;90112;0;2261558;58815;744232;42941;234254;968003;1618103;839120;255362;4760830;10185;114387;8732;39183;190885;318460;173818;29692;885342;33362;356090;54114;152237;814555;1826828;757426;22869;4017481;16741;2318161;108470;515190;2659562;5729193;1576609;323537;0;13247463;5229;631522;25961;112499;652589;1057759;484180;100668;0;3070407;6805;657625;21142;82930;453800;731138;261746;39732;0;2254918;5522;632056;26073;104112;610009;992611;447129;82915;2900427;2316;95428;7123;19585;126246;186669;141583;66220;645170;3840;98702;7606;32759;198008;215781;157413;119899;834008;7683;225741;12374;57074;293706;477663;335179;98228;1507648;287;36643;7433;42428;160876;530923;408285;6223;0;1193098;212629;7098152;438048;1861846;9219684;17228663;9080653;1491440;0;46631115
2017;1371;36325;3757;10896;82931;78568;120566;13381;347795;64;5998;1711;5675;24674;33978;54903;4288;131291;1671;97273;6375;19216;93292;166052;196624;3815;584318;93;3056;1764;4330;18725;21306;49618;1485;100377;19710;79827;7991;57880;203656;284360;363926;51468;1068818;956;3380;1105;4349;24905;27887;63894;1074;127550;1038;16226;3183;11802;49156;60194;119256;20619;281474;1464;35476;6282;36592;146239;187563;280179;19256;713051;760;26727;5175;19575;89235;140475;163044;8238;453229;2701;226013;9062;56267;259124;484052;404399;23330;1464948;7683;56897;6088;23425;114049;188893;173454;17884;588373;1253;71013;7355;25800;103246;172936;243053;13614;638270;1596;208370;19355;62036;296506;566673;378406;51838;1584780;1134;73438;4902;18328;85504;138726;154052;10679;486763;3048;42099;5678;15447;66061;132640;114675;10814;390462;14752;213100;21139;104274;437762;736669;605708;90371;0;2223775;59069;738493;41684;218895;967468;1569930;858646;256734;4710919;10986;111667;8786;36752;188789;313096;174518;29563;874157;34515;368014;54506;155923;820833;1832036;756207;22702;4044736;17148;2330177;102406;501810;2677102;5565606;1597269;336760;0;13128278;5476;631123;26340;112180;653399;1016907;480293;102474;0;3028192;6744;644635;20173;82133;446664;701328;263153;40908;0;2205738;6015;633345;25899;104250;616598;984160;447418;84688;2902373;2239;89059;6885;22137;125567;190243;133899;69358;639387;3247;98249;7777;30844;188281;206022;152356;113609;800385;7347;229114;12220;56955;289457;463524;361060;95745;1515422;257;36112;7829;41187;161527;508821;484639;6357;0;1246729;212337;7105206;425427;1838958;9230750;16772645;9195215;1501052;0;46281590
2016;1277;34219;3875;12694;82227;76882;116773;13250;341197;236;5971;1739;4507;24199;35015;52051;4419;128137;1129;98252;6317;20510;95503;162020;184247;4057;572035;103;3115;1907;3158;18097;20559;46148;1487;94574;20417;80919;8182;65755;208483;275435;343672;50408;1053271;887;3267;1145;5056;24782;28776;60606;1072;125591;851;16983;3000;10911;48554;57699;105893;20339;264230;1557;38564;5730;36985;149122;186253;263755;18234;700200;763;27528;4719;22347;86670;135706;156395;7565;441693;2999;232501;8556;61516;260979;483741;369758;23315;1443365;8675;59104;6458;26060;114774;186003;167478;17417;585969;1218;74530;7462;28589;103509;168568;237671;13085;634632;2176;210329;19349;66454;299785;573265;364385;49911;1585654;1060;76939;5763;21149;85748;139642;149529;10442;490272;3595;43214;4983;17332;65635;133542;103838;10934;383073;14898;213150;19718;112923;441279;735857;544482;89038;0;2171345;58166;731949;40659;227752;968396;1563000;779916;258863;4628701;11977;113426;8355;40814;190825;310301;163766;29409;868873;37477;382805;56390;183392;841106;1901175;733853;23283;4159481;18874;2365762;105746;548969;2675238;5522650;1642135;314746;0;13194120;5855;619534;26359;123024;658316;1003429;472514;104074;0;3013105;7188;629396;20188;83580;441059;687737;255580;43195;0;2167923;6063;643217;27955;108116;616805;985319;437747;85661;2910883;2448;89540;6688;25891;125369;190229;122472;70917;633554;3230;91604;7416;29858;187284;198255;145010;108970;771627;7947;224819;12637;56146;288821;443970;316201;95402;1445943;265;37376;8139;41916;162339;503824;490165;6726;0;1250750;221331;7148013;429435;1985404;9264904;16708852;8826040;1476219;0;46060198
2015;1302;37160;3385;20393;85462;77435;120201;13323;358661;287;6589;1813;5631;25488;35929;56415;3859;136011;1341;108138;6388;25291;101320;173616;190856;4211;611161;117;2966;1814;3409;19223;19844;47633;1558;96564;20301;88385;8341;89181;217563;279888;370278;51692;1125629;892;3375;1158;5959;26603;31361;51527;1038;121913;947;18879;3129;10353;49867;58350;113408;19712;274645;1777;40993;5933;50119;152045;184041;270545;17413;722866;719;29018;7053;27048;90594;138581;158959;8804;460776;3357;247716;9609;84265;273851;490382;406057;27522;1542759;9803;62794;6597;34505;119646;190737;168121;16663;608866;1374;77914;7750;36506;106921;169531;253990;13044;667030;2496;220880;19128;82504;315389;587963;394445;47530;1670335;1078;79465;5505;27383;89431;138337;157511;10565;509275;4296;48173;6076;24703;67946;137164;105628;10982;404968;16102;220455;21213;133481;457656;776697;597020;89780;0;2312404;60108;768036;42243;271665;995064;1596109;828346;259545;4821116;13389;121341;8845;48464;199001;325992;175801;31909;924742;45088;427395;57285;261811;870248;2009136;754096;23800;4448859;20033;2508856;114650;643263;2735556;5649043;1689496;336574;0;13697471;6409;658040;26714;139775;670477;1023157;482107;106525;0;3113204;7406;648132;20478;95747;444698;699143;254804;43884;0;2214292;6767;675327;29384;121175;625668;1000557;461901;84770;3005549;2563;91871;5769;25032;127470;193650;129957;69308;645620;3455;98090;6275;40041;193760;199593;152777;106831;800822;8811;238040;12452;66594;300080;451878;330608;92934;1501397;270;38872;8398;48366;171595;513198;476388;6785;0;1263872;240488;7566900;447385;2422664;9532622;17151312;9198875;1500561;0;48060807
2014;1468;38597;4109;30574;86621;77967;122110;12655;374101;118;6655;1209;8574;25183;35498;52321;3603;133161;1882;132192;6392;27791;101442;177272;192416;3533;642920;134;3360;1267;4040;18346;20318;45293;1562;94320;20063;92574;8282;109318;219206;279529;365806;53443;1148221;1785;3837;1290;8826;28001;33304;54743;1047;132833;1304;18537;2862;14410;49325;56780;114217;18478;275913;2388;41789;5663;56455;151348;193207;269067;18909;738826;798;30211;4849;36173;87485;129339;159660;9215;457730;3336;264640;8974;92801;274168;489854;391925;26749;1552447;10019;66661;6776;41558;121608;186510;183101;15907;632140;1580;81781;7766;46387;106762;165864;255708;13332;679180;2698;240693;20195;117532;323387;617273;399833;46932;1768543;972;84785;5464;31986;92263;133475;156560;8886;514391;4894;48306;6188;27674;68655;133255;114287;13764;417023;16436;229566;21514;163200;462522;789493;600072;89780;0;2372583;64503;838813;44161;328736;1018100;1630497;889911;257185;5071906;13898;128587;9803;56721;207744;342530;177171;31274;967728;50091;474275;58873;301354;891489;2059563;780804;24931;4641380;21320;2734154;114306;697465;2810211;5706773;1699617;327604;0;14111450;6566;703155;26648;153709;682575;1016213;475420;102848;0;3167134;8496;684309;20124;105331;455439;694185;261177;44872;0;2273933;7317;730738;30427;140290;641869;1006421;470355;81762;3109179;2838;96548;5985;29312;129013;191348;130371;68163;653578;3894;105118;6110;47203;194888;194347;148520;104450;804530;8595;251031;12285;77684;303640;448603;322157;90537;1514532;213;40110;8576;60582;176817;504077;523211;8242;0;1321828;257606;8171022;450098;2815686;9728107;17313495;9355833;1479663;0;49571510
