Sigla,Código,Estado,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,12,Acre,540168.374295812,634908.159310316,532594.20194759,591702.329495048,484086.148313765,481469.858177335,582510.328950681,544949.870120889,784374.71705443,796377.897221306,818687.168409737,940413.061437039,977345.702262057,923403.609286165,924750.434013051,821578.328818679
AL,27,Alagoas,4700566.41990196,3638392.41064541,3344144.70307529,3279268.60570844,3174656.98932252,2921239.55717178,3537290.67823997,3625720.51158402,2911125.85591102,2797560.06649851,2537031.57728859,2780489.35715115,3044846.17484831,3337332.11774764,4283423.93704761,5198739.73477787
AM,13,Amazonas,2354164.95806681,2069586.20530073,1798062.12088406,1528901.9442068,1695792.39370784,1530955.92742853,1459565.24750703,1575238.22012089,2219359.25583308,3982128.32882502,3530476.91056935,4109751.91891762,3821947.70162956,3973129.44263076,3730173.81215283,3430336.42143437
AP,16,Amapá,78250.1852440943,65943.2673808606,82853.9422141197,180575.39792627,196476.2829137,202269.969595409,175328.674666598,188067.699208647,196013.3472309,204623.174385837,234146.601499747,202017.739377735,198673.023453122,184748.526964035,183645.730938919,190308.65212864
BA,29,Bahia,12561355.7243418,12674225.7231694,13437888.725641,11122590.34039,10721196.0385694,12450216.5284088,11924845.1801171,11499156.9541587,10709344.1091415,10973481.9155662,10929642.7431109,10423559.8825863,11422236.0436811,12244426.8241548,10488786.5866534,9687917.57113836
CE,23,Ceará,3581175.24398325,4241630.89452899,3834632.5483964,3567999.99446342,4316726.86791581,3708203.65999997,4686409.67152682,3827174.15739015,3495911.33775879,4705759.82658063,3369981.17234046,3882069.97522341,4251629.28842898,3537662.64279554,3628913.23989228,4583313.23770096
DF,53,Distrito Federal,314249.646089443,337587.069423035,321314.128003877,335250.479575948,255435.012316293,331636.93632874,367743.016395949,395636.686597418,327804.575467,569079.686950075,421956.768316744,487072.292305765,568063.675141716,429781.843371781,520673.71224822,507026.524254789
ES,32,Espírito Santo,1490187.05251786,1564672.55787343,1921741.98935075,2186872.42088313,2386894.84990594,2258116.61965884,2405835.94849656,2158525.4120798,2243197.18904786,2756418.6768633,2716502.01259003,2530976.04095479,2748199.54188839,2592745.97495826,2707968.8059824,2746834.02482227
GO,52,Goiás,9596387.34997396,9954631.96582226,10194613.9027041,7119126.1512611,5694811.32236624,7301351.41243103,8859936.33338033,9896009.53507613,10376549.2981942,10723913.8625152,12038905.0451822,13081509.3807805,11541189.1659179,11046294.9447788,12514946.1853107,11889196.3797857
MA,21,Maranhão,3547216.58643695,4675372.74582035,4706860.04062172,4311470.68468159,3646727.40719489,3852661.74174147,5823161.58670114,4570957.1956529,4537926.59522513,4746946.65974112,4651602.13016097,5437560.911293,5447179.10734466,4966697.93295007,3836792.86751361,4596192.54193048
MG,31,Minas Gerais,12744842.4560179,13637787.729825,16952756.4419672,15331002.0928606,15974577.1051092,15730531.7200845,16741022.9496979,15798857.6522837,17085912.9428701,21967831.3827217,21858450.9655672,19144344.5567064,18874387.1402366,16759850.6227711,21071580.1861533,17574856.2175594
MS,50,Mato Grosso do Sul,7037215.98625428,9330978.58690555,7616174.09758028,5024255.49915448,4869442.2400473,5427464.10013762,6918958.24140063,6471361.57278169,7151612.32505505,7824348.28134032,8272513.55306136,8630289.49156286,8996205.3257125,9357402.43449147,10099994.5642591,9303890.0926947
MT,51,Mato Grosso,7701391.63236071,11508942.7742109,14283742.8395524,12031665.4293948,5544470.77659231,8225151.76635081,11440916.8392338,10724964.4476191,8373222.52972701,12562005.5880977,14908826.9623621,14641183.5310776,14075237.1295265,13251715.9959541,15912373.1915295,13790516.8176475
PA,15,Pará,6584101.60149493,6713778.45393896,6538843.56270053,6647976.6467888,6862771.35280854,6629751.5457394,6255288.81418183,6440989.86823205,8076833.57468138,8282611.14405398,8704452.37688072,11561633.4241697,9911772.14128613,9944025.62939705,10891093.3824126,10248819.6960338
PB,25,Paraíba,1436182.33570374,1719004.44751652,1530392.86251998,1550704.86197749,1619500.14994476,1374870.32683786,1513087.00644652,1623812.02319672,1384254.97562132,1652579.80186464,1318015.10389746,1468674.41777801,1341099.03961452,1309674.01477175,1377088.21431899,1319859.69280895
PE,26,Pernambuco,3550001.78033616,3675214.04336523,3696419.31600124,4065722.24584159,4164232.77986181,3958450.22536372,4249607.06403508,4074866.92780795,3962413.03878793,3827206.00415545,3292359.2629933,3377341.36425715,3272806.61316312,3581130.22624679,3927318.22367931,3694986.78035216
PI,22,Piauí,808828.687739744,1449588.69956802,1486200.2979643,1313772.66204416,1148972.118175,1003862.83268644,1717828.0387742,1714296.79716851,1179327.31601027,1788056.29933762,1704735.14195369,1411979.06001633,1862336.38955182,1875505.85382259,1185227.34500334,2320925.72489811
PR,41,Paraná,16077386.9751249,20735367.8244821,18902291.5534259,14885605.2964441,13528018.4219666,16211118.6958795,19172426.0200711,15872169.590806,17801329.716704,19142565.6088672,19012699.3016323,23799490.3154358,21097515.6529358,20160746.865441,21994377.5733231,21090136.1663504
RJ,33,Rio de Janeiro,1831992.19894693,1491697.54462397,1946328.79758141,1762369.07947229,1684862.45249645,1445514.53703033,1570200.44183644,1711329.61955341,1534564.08056331,1971279.86838866,2024277.57167824,1943143.67546032,2095977.61068594,2066742.51237563,1952051.52229457,1791069.67706208
RN,24,Rio Grande do Norte,1050486.87515272,1422787.23984109,1389616.83931157,1251757.54328633,1348449.65812961,1125628.44252561,1182269.93068785,1356127.37617291,1148621.88438621,1230048.52185391,1113475.84236092,1181327.89072424,1136584.29458077,1123763.17370485,1183829.16369862,1322524.75882429
RO,11,Rondônia,1359319.15952166,2129112.95685832,1991168.5845715,1930688.90500625,1667800.49668398,1812175.68648972,2362115.08649537,2294885.23106494,2295537.13812222,2318003.52075967,2815255.53374766,2648957.93571015,2853000.13997847,2985546.02275195,3117723.49513787,3597291.34360373
RR,14,Roraima,134850.179113805,158411.950747419,170514.690214748,142314.725958184,124318.442095763,157212.703181957,147926.815544372,134155.590491031,148648.01953261,162048.279742295,182912.026981674,305586.488529164,285119.55189379,354093.937835278,357728.63545808,372865.671885296
RS,43,Rio Grande do Sul,17497507.9061828,23447682.5716508,19716790.4883127,11713891.544729,14199689.5903116,16498368.2507995,18425389.0233703,16892877.1668434,17162698.1509416,17427518.9521518,13935519.5510964,22899573.0855543,21322311.8931554,21445746.5768921,23008820.5478703,20574683.6862675
SC,42,Santa Catarina,9222807.69789423,9805853.11346928,9358610.95757789,8456199.05679883,7802903.08664999,8295826.89619896,9732607.38038739,9307405.81382247,8942401.7302484,8252993.63734897,7609189.34524209,9639034.59006068,9351114.04285159,8562589.20552867,9518734.55195178,8699561.26286481
SE,28,Sergipe,1142113.39159926,1442264.59167046,1245580.20007455,1225503.65093446,1407085.34565499,1306132.55507801,1611935.30293834,1743329.92419558,1511775.21608182,1255066.8514532,1279865.24911331,1429932.99869484,1299653.52203206,1188161.37807122,1094432.99562202,1203632.29337705
SP,35,São Paulo,26809477.3745517,26114816.8814846,22865495.6152947,22420557.8201179,26354041.9261256,26834551.9053437,20948817.984341,25599122.5334621,22631448.8920347,21576039.0042066,20363353.7131737,21048661.0476964,20164561.9860727,18052265.2750637,22728496.0885389,22351283.5480347
TO,17,Tocantins,1105928.09571347,1777217.46565061,1529989.17089019,1242343.91563358,974627.427824104,997635.873448793,1467589.99404624,1739331.7085921,1739792.1877675,1934147.556902,2003088.75556854,2159486.47529792,2440644.65816504,2342335.26244948,2296113.26899573,2545960.83139763
