uf,setor_bndes,porte_do_cliente,ano,mean_valor_contratado_reais,mean_valor_desembolsado_reais,mean_juros,mean_prazo_carencia_meses,mean_prazo_amortizacao_meses,mean_num_empregados,mean_emissao_co2,mean_pib
AC,AGROPECUARIA,GRANDE,2007,1360242.2,194065.0,0.0,0.0,0.0,520.0,4629208.9,481469.9
AC,AGROPECUARIA,MICRO,2008,248000.0,248352.0,0.0,0.0,0.0,1620.0,4859837.2,582510.3
AC,INDUSTRIA,GRANDE,2002,302757.6,306000.0,4.0,18.0,66.0,0.0,0.0,674488.0
AC,INDUSTRIA,GRANDE,2005,12529726.0,12856405.1,3.5,18.0,102.0,0.0,0.0,598244.1
AC,INDUSTRIA,GRANDE,2008,18357844.0,17269113.2,2.0,30.0,90.0,0.0,0.0,681922.8
AC,INDUSTRIA,MICRO,2009,884037.0,870081.0,0.0,0.0,0.0,1956.0,0.0,1056411.7
AC,INDUSTRIA,MICRO,2010,1252000.0,1252000.0,0.0,0.0,0.0,2200.0,0.0,1091621.6
AC,INDUSTRIA,MICRO,2012,855000.0,854901.2,0.0,0.0,0.0,2371.0,0.0,888919.1
AC,INFRAESTRUTURA,GRANDE,2007,32048964.0,32110602.6,2.0,24.0,96.0,,,
AC,INFRAESTRUTURA,GRANDE,2008,60759000.0,60936725.7,2.0,30.0,162.0,,,
AC,INFRAESTRUTURA,GRANDE,2020,99146000.0,0.0,3.2,12.0,153.0,,,
AC,INFRAESTRUTURA,MÉDIA,2004,11000000.0,0.0,4.0,18.0,96.0,,,
AL,AGROPECUARIA,GRANDE,2014,6175000.0,6175000.0,2.0,36.0,84.0,0.0,3392086.3,3044846.2
AL,INDUSTRIA,GRANDE,2010,65901375.0,64714513.2,2.0,24.8,66.8,88698.0,242707.0,4708284.8
AL,INDUSTRIA,GRANDE,2011,14212141.2,14268284.1,2.4,21.0,78.0,89384.0,254230.2,6010281.7
AL,INDUSTRIA,GRANDE,2013,38818000.0,38812875.0,2.6,16.5,78.5,75011.0,294581.9,4713670.1
AL,INDUSTRIA,GRANDE,2014,5241333.3,4594834.9,3.8,16.0,90.0,64447.0,299536.9,4385624.7
AL,INDUSTRIA,GRANDE,2015,5135600.0,4888848.5,4.4,12.0,72.0,59575.0,210353.4,4409744.1
AL,INDUSTRIA,MÉDIA,2014,1784000.0,435087.4,4.5,18.0,102.0,,299536.9,4385624.7
AL,INFRAESTRUTURA,GRANDE,2002,10295000.0,10548990.9,2.9,30.0,120.0,,,
AL,INFRAESTRUTURA,GRANDE,2003,91383653.3,98025890.9,1.0,10.0,24.0,,,
AL,INFRAESTRUTURA,GRANDE,2005,6108000.0,5961022.6,2.8,9.0,72.0,,,
AL,INFRAESTRUTURA,GRANDE,2010,787918.5,759151.5,3.2,3.0,60.0,,,
AL,INFRAESTRUTURA,GRANDE,2019,284845600.0,200000000.0,2.2,18.0,220.0,,,
AL,INFRAESTRUTURA,GRANDE,2020,491429000.0,0.0,2.3,42.0,197.0,,,
AM,AGROPECUARIA,MICRO,2009,579000.0,558304.3,0.0,0.0,0.0,1124.0,2961876.4,1575238.2
AM,AGROPECUARIA,MÉDIA,2016,31518490.0,31518490.0,0.0,0.0,0.0,,2875114.6,3730173.8
AM,AGROPECUARIA,MÉDIA,2018,12092485.0,10744822.4,0.0,0.0,0.0,,3020468.2,
AM,INDUSTRIA,GRANDE,2002,11964666.9,11956306.1,3.3,16.0,56.0,25232.0,233222.7,14761990.8
AM,INDUSTRIA,GRANDE,2005,28348299.7,28449844.8,5.3,12.0,12.0,53191.0,232446.0,17595737.5
AM,INDUSTRIA,GRANDE,2006,63000000.0,63087644.8,4.0,12.0,24.0,53124.0,233654.6,19981697.4
AM,INDUSTRIA,GRANDE,2008,18368000.0,18376613.3,3.8,18.0,18.0,57393.0,281970.1,18769937.3
AM,INDUSTRIA,GRANDE,2010,21025000.0,21025000.0,2.2,24.0,66.0,61226.0,261072.1,21495795.2
AM,INDUSTRIA,GRANDE,2012,10104333.3,9733333.3,2.4,16.0,64.0,72513.0,282678.1,19592774.5
AM,INDUSTRIA,GRANDE,2013,32609544.3,32059816.2,2.1,15.4,54.9,80833.0,277978.1,20222782.1
AM,INDUSTRIA,GRANDE,2014,23533333.3,23533462.8,1.1,24.0,60.0,70881.0,229952.7,18283808.7
AM,INFRAESTRUTURA,GRANDE,2002,4850975.2,4967538.5,4.7,21.0,138.0,,,
AM,INFRAESTRUTURA,GRANDE,2004,2338408.2,1682947.1,5.1,23.8,180.0,,,
AM,INFRAESTRUTURA,GRANDE,2005,800000000.0,800000000.0,4.5,12.0,1.0,,,
AM,INFRAESTRUTURA,GRANDE,2006,2518947.5,2511988.4,3.7,12.0,180.0,,,
AM,INFRAESTRUTURA,GRANDE,2007,2489500000.0,2491252385.3,2.0,38.0,46.0,,,
AM,INFRAESTRUTURA,GRANDE,2008,400000000.0,400912120.3,3.0,36.0,84.0,,,
AM,INFRAESTRUTURA,GRANDE,2009,15000000.0,15012609.2,3.7,18.0,126.0,,,
AM,INFRAESTRUTURA,GRANDE,2010,439714000.0,439714000.0,2.4,11.0,65.0,,,
AM,INFRAESTRUTURA,GRANDE,2012,47475758.8,42995847.0,2.5,30.0,92.8,,,
AM,INFRAESTRUTURA,GRANDE,2013,17505500.0,14563082.2,3.3,6.0,136.0,,,
AM,INFRAESTRUTURA,GRANDE,2014,35772820.0,35987831.5,2.8,24.0,124.8,,,
AM,INFRAESTRUTURA,GRANDE,2018,30000000.0,30000000.0,2.2,24.0,36.0,,,
AM,INFRAESTRUTURA,GRANDE,2019,17112538.6,7081115.8,3.4,36.0,180.0,,,
AM,INFRAESTRUTURA,GRANDE,2020,77059656.9,0.0,3.0,24.0,216.0,,,
AM,INFRAESTRUTURA,MÉDIA,2002,1537255.3,1873158.4,6.0,15.0,240.0,,,
AM,INFRAESTRUTURA,MÉDIA,2005,782340.0,658827.5,4.1,18.0,180.0,,,
AM,INFRAESTRUTURA,PEQUENA,2005,1566543.7,1529352.2,4.1,18.0,180.0,,,
AP,INDUSTRIA,GRANDE,2007,143845019.2,141756679.6,4.2,30.0,66.0,643.0,0.0,624305.6
AP,INFRAESTRUTURA,GRANDE,2007,90372825.6,73601006.5,3.9,30.0,66.0,,,
AP,INFRAESTRUTURA,GRANDE,2012,30373818.2,29259943.2,3.0,11.0,191.9,,,
AP,INFRAESTRUTURA,GRANDE,2014,168033333.3,163849196.6,1.4,34.0,184.0,,,
AP,INFRAESTRUTURA,GRANDE,2015,160251164.3,0.0,7.3,36.0,186.0,,,
AP,INFRAESTRUTURA,GRANDE,2018,242185.4,0.0,8.5,3.0,54.0,,,
BA,AGROPECUARIA,GRANDE,2002,4940500.0,3559427.9,4.5,30.0,66.0,9324.0,23707219.5,12561355.7
BA,AGROPECUARIA,GRANDE,2003,2380024.0,2418273.4,4.0,36.0,72.0,10320.0,24458245.1,12674225.7
BA,AGROPECUARIA,GRANDE,2005,6187444.3,6200000.0,3.5,24.0,60.0,11825.0,25388463.5,11122590.3
BA,AGROPECUARIA,GRANDE,2012,33390333.3,25124985.2,2.3,84.0,24.0,8316.0,23992509.1,10929642.7
BA,AGROPECUARIA,MICRO,2002,6896550.3,6896550.3,9.8,41.0,84.0,32010.0,23707219.5,12561355.7
BA,AGROPECUARIA,MICRO,2011,1925500.0,1925500.4,0.0,0.0,0.0,41378.0,25379330.5,10973481.9
BA,AGROPECUARIA,PEQUENA,2018,3662521.5,3167255.7,0.0,12.0,60.0,20882.0,23596024.5,
BA,INDUSTRIA,GRANDE,2002,12038308.8,13002495.4,2.6,19.7,63.7,35757.0,1075607.9,22508052.0
BA,INDUSTRIA,GRANDE,2003,3907730.1,3923505.4,5.2,14.0,62.0,37602.0,1324686.7,23341294.7
BA,INDUSTRIA,GRANDE,2004,160787287.6,158389260.5,2.7,38.4,60.6,45189.0,1330852.1,26528210.1
BA,INDUSTRIA,GRANDE,2005,71032538.8,69572599.5,3.7,18.5,54.0,52583.0,1458906.1,28788922.9
BA,INDUSTRIA,GRANDE,2006,74712999.1,70677733.5,2.2,47.4,54.0,57686.0,1343634.7,27863970.8
BA,INDUSTRIA,GRANDE,2007,69610967.4,67152932.4,1.6,17.1,58.3,66910.0,1474039.3,28374185.0
BA,INDUSTRIA,GRANDE,2008,48186057.1,51977658.3,3.8,13.8,43.2,68073.0,1555923.4,30071695.9
BA,INDUSTRIA,GRANDE,2009,9774563.4,7632562.1,2.8,14.1,73.3,80930.0,1235557.8,32827594.7
BA,INDUSTRIA,GRANDE,2010,4686432.5,4316582.9,2.7,15.6,59.7,88429.0,1438893.5,36739895.1
BA,INDUSTRIA,GRANDE,2012,61221844.5,64874412.9,2.4,20.2,63.9,87359.0,1347484.7,30055663.9
BA,INDUSTRIA,GRANDE,2013,39199760.0,33735646.2,2.5,18.5,56.4,87182.0,1432394.4,29015289.6
BA,INDUSTRIA,GRANDE,2014,29702707.1,26716094.9,3.2,27.5,47.2,84802.0,1540158.1,30350637.7
BA,INDUSTRIA,GRANDE,2015,12213762.5,8621613.5,3.2,26.0,55.0,77539.0,1533505.4,32759140.4
BA,INDUSTRIA,GRANDE,2016,19340000.0,9329957.4,2.3,84.0,24.0,80083.0,1384213.0,34325906.7
BA,INDUSTRIA,GRANDE,2017,125646000.0,91505309.9,2.1,48.0,42.0,81441.0,1392331.4,32432703.6
BA,INDUSTRIA,MICRO,2003,1188712.0,1215682.6,3.2,21.0,75.0,29174.0,1324686.7,23341294.7
BA,INDUSTRIA,MICRO,2009,851297.2,851538.4,0.0,0.0,0.0,41762.0,1235557.8,32827594.7
BA,INDUSTRIA,MÉDIA,2018,10427200.0,5026000.0,3.5,24.0,72.0,,1411656.3,
BA,INFRAESTRUTURA,GRANDE,2002,92094954.7,93267954.8,2.4,22.2,82.8,,,
BA,INFRAESTRUTURA,GRANDE,2003,70990625.6,49648812.8,3.6,15.7,95.3,,,
BA,INFRAESTRUTURA,GRANDE,2005,18339318.7,15418055.2,4.4,3.5,70.2,,,
BA,INFRAESTRUTURA,GRANDE,2006,246648566.7,223489663.9,4.0,10.3,37.5,,,
BA,INFRAESTRUTURA,GRANDE,2007,654299892.9,653641392.5,2.4,11.6,61.7,,,
BA,INFRAESTRUTURA,GRANDE,2008,9460012.0,9519886.0,2.0,16.0,52.0,,,
BA,INFRAESTRUTURA,GRANDE,2009,43008956.7,40403100.4,2.4,20.5,125.0,,,
BA,INFRAESTRUTURA,GRANDE,2010,65585280.0,54366250.0,2.9,19.2,44.6,,,
BA,INFRAESTRUTURA,GRANDE,2011,37129295.5,36576438.4,1.9,22.1,158.8,,,
BA,INFRAESTRUTURA,GRANDE,2012,35587569.1,29053599.0,2.9,18.9,113.5,,,
BA,INFRAESTRUTURA,GRANDE,2013,38485900.0,33845391.7,3.4,22.1,78.1,,,
BA,INFRAESTRUTURA,GRANDE,2014,30112518.5,22112259.5,2.7,14.2,175.4,,,
BA,INFRAESTRUTURA,GRANDE,2015,89723771.7,89993290.0,2.1,8.4,194.5,,,
BA,INFRAESTRUTURA,GRANDE,2016,15375116.3,15231251.9,3.1,8.4,191.4,,,
BA,INFRAESTRUTURA,GRANDE,2017,43473726.0,42843891.4,2.3,17.5,189.0,,,
BA,INFRAESTRUTURA,GRANDE,2018,100084518.0,72179690.8,2.2,12.9,169.3,,,
BA,INFRAESTRUTURA,GRANDE,2019,93451481.8,93348440.1,2.5,5.2,194.9,,,
BA,INFRAESTRUTURA,GRANDE,2020,197354368.4,62682042.2,2.4,17.4,216.6,,,
BA,INFRAESTRUTURA,MICRO,2007,787714.8,789908.7,0.0,0.0,0.0,,,
BA,INFRAESTRUTURA,MICRO,2009,550215.5,489530.9,0.0,0.0,0.0,,,
BA,INFRAESTRUTURA,MICRO,2015,39330125.0,39353248.9,2.6,6.0,192.0,,,
BA,INFRAESTRUTURA,MÉDIA,2003,4813835.3,4484980.3,6.0,19.0,144.0,,,
BA,INFRAESTRUTURA,MÉDIA,2005,329496.9,312255.3,6.0,15.0,144.0,,,
BA,INFRAESTRUTURA,MÉDIA,2007,2148608.1,2150029.9,4.8,6.0,60.0,,,
BA,INFRAESTRUTURA,MÉDIA,2011,24781666.7,24781666.7,1.8,16.5,172.0,,,
BA,INFRAESTRUTURA,MÉDIA,2016,9237000.0,9291004.5,3.0,18.0,21.0,,,
BA,INFRAESTRUTURA,MÉDIA,2018,126400000.0,0.0,8.3,108.0,216.0,,,
BA,INFRAESTRUTURA,MÉDIA,2019,9002222.2,8637322.9,2.9,2.0,112.7,,,
BA,INFRAESTRUTURA,PEQUENA,2008,1336845.8,1297239.9,3.7,33.0,201.0,,,
CE,AGROPECUARIA,GRANDE,2002,1074925.5,1097034.9,4.0,18.0,78.0,3864.0,6158955.9,3581175.2
CE,AGROPECUARIA,MÉDIA,2017,14363461.5,14375343.2,4.3,24.0,36.0,,6509571.4,4583313.2
CE,INDUSTRIA,GRANDE,2002,5101057.6,5373825.1,5.3,13.4,23.0,67500.0,542986.8,10774651.9
CE,INDUSTRIA,GRANDE,2003,7143000.0,7158634.4,6.8,7.0,17.0,74535.0,458632.2,10144264.9
CE,INDUSTRIA,GRANDE,2004,35000000.0,35044060.0,3.5,12.0,12.0,80174.0,488368.5,11526821.6
CE,INDUSTRIA,GRANDE,2005,25988333.3,26071917.8,5.3,12.0,12.0,76566.0,534959.5,11141282.4
CE,INDUSTRIA,GRANDE,2006,1274882.0,1248786.0,2.5,18.0,48.0,84115.0,545439.8,11854859.7
CE,INDUSTRIA,GRANDE,2007,26798255.5,26815116.8,1.9,15.6,57.6,90315.0,601525.2,12052018.6
CE,INDUSTRIA,GRANDE,2009,36266429.8,35446794.2,1.8,6.0,12.0,100969.0,649849.8,14208540.4
CE,INDUSTRIA,GRANDE,2010,11514750.0,7815671.5,0.9,9.0,33.0,102683.0,670865.3,15177895.7
CE,INDUSTRIA,GRANDE,2012,3683333.3,3408333.3,1.8,18.0,52.0,99347.0,769172.5,15233686.7
CE,INDUSTRIA,GRANDE,2014,19453333.3,14030971.0,2.6,25.0,68.5,100464.0,996455.7,15653413.1
CE,INDUSTRIA,GRANDE,2015,773310289.6,807587610.0,1.5,21.3,124.0,96165.0,1067543.5,15375087.8
CE,INDUSTRIA,GRANDE,2016,12165000.0,3649500.0,3.2,24.0,60.0,94621.0,1036862.6,14833948.4
CE,INDUSTRIA,GRANDE,2017,16515285.7,16129373.1,3.1,14.6,58.3,95675.0,1011718.0,13585657.4
CE,INDUSTRIA,GRANDE,2020,347700.0,347700.0,1.3,24.0,36.0,,,
CE,INDUSTRIA,GRANDE,2021,402250.0,0.0,1.3,24.0,36.0,,,
CE,INDUSTRIA,MICRO,2003,585000.0,598122.3,5.6,18.0,60.0,27939.0,458632.2,10144264.9
CE,INDUSTRIA,MICRO,2007,1441800.0,1443991.9,0.0,0.0,0.0,35121.0,601525.2,12052018.6
CE,INDUSTRIA,MÉDIA,2013,5627273.0,5627273.0,0.0,0.0,0.0,,766651.8,15392239.1
CE,INFRAESTRUTURA,GRANDE,2002,65946624.8,69250388.8,2.0,32.4,67.8,,,
CE,INFRAESTRUTURA,GRANDE,2003,22655285.7,33558441.5,5.1,13.0,25.9,,,
CE,INFRAESTRUTURA,GRANDE,2004,6021875.0,5769957.0,5.5,12.0,42.0,,,
CE,INFRAESTRUTURA,GRANDE,2005,36011255.0,34288054.8,1.5,34.0,114.0,,,
CE,INFRAESTRUTURA,GRANDE,2006,44282069.0,42300507.3,2.0,27.0,93.0,,,
CE,INFRAESTRUTURA,GRANDE,2008,51566720.7,43804665.5,3.5,18.9,88.4,,,
CE,INFRAESTRUTURA,GRANDE,2009,178002650.5,176118725.2,2.2,20.5,131.7,,,
CE,INFRAESTRUTURA,GRANDE,2010,57912266.2,56947419.5,2.7,21.9,87.6,,,
CE,INFRAESTRUTURA,GRANDE,2011,26672277.8,25376168.6,3.6,17.3,161.9,,,
CE,INFRAESTRUTURA,GRANDE,2012,22375000.0,22375000.0,1.9,12.0,192.0,,,
CE,INFRAESTRUTURA,GRANDE,2013,11702948.5,10949342.4,1.6,8.1,151.8,,,
CE,INFRAESTRUTURA,GRANDE,2014,95689588.0,64668855.1,2.0,10.4,181.5,,,
CE,INFRAESTRUTURA,GRANDE,2015,17918133.3,14214752.3,4.1,7.5,104.7,,,
CE,INFRAESTRUTURA,GRANDE,2016,33375400.0,32155227.5,1.9,11.2,190.8,,,
CE,INFRAESTRUTURA,GRANDE,2017,36381136.4,35957282.9,2.7,4.2,188.8,,,
CE,INFRAESTRUTURA,GRANDE,2019,29318081.7,21805181.3,2.0,3.4,161.4,,,
CE,INFRAESTRUTURA,MICRO,2012,19156780.0,19156780.0,2.4,21.0,1.0,,,
CE,INFRAESTRUTURA,MICRO,2014,23088390.9,22793460.2,1.8,2.2,190.9,,,
CE,INFRAESTRUTURA,MÉDIA,2015,29860090.9,29851418.1,2.9,16.2,174.0,,,
CE,INFRAESTRUTURA,MÉDIA,2018,13400000.0,13409318.2,3.0,18.0,42.0,,,
DF,AGROPECUARIA,GRANDE,2010,30000000.0,30000000.0,5.5,12.0,24.0,645.0,362801.4,327804.6
DF,INDUSTRIA,GRANDE,2005,25000000.0,25164732.9,9.0,12.0,12.0,14964.0,860828.8,7773817.0
DF,INDUSTRIA,GRANDE,2011,3128000.0,1750000.0,0.0,0.0,0.0,11916.0,1274752.1,8656450.2
DF,INDUSTRIA,GRANDE,2018,34909000.0,20000000.0,1.6,24.0,1.0,15157.0,910240.7,
DF,INFRAESTRUTURA,GRANDE,2002,18074111.1,17527605.9,6.5,0.0,62.7,,,
DF,INFRAESTRUTURA,GRANDE,2004,209509510.2,205573486.3,4.3,16.7,107.3,,,
DF,INFRAESTRUTURA,GRANDE,2006,233815069.4,234750738.7,4.1,30.0,60.0,,,
DF,INFRAESTRUTURA,GRANDE,2009,260318000.0,257304983.2,1.9,30.0,162.0,,,
DF,INFRAESTRUTURA,GRANDE,2013,164090528.1,162281443.5,1.7,9.6,46.2,,,
DF,INFRAESTRUTURA,GRANDE,2014,103540315.2,87595006.4,3.7,33.0,129.6,,,
DF,INFRAESTRUTURA,GRANDE,2017,150000000.0,150000000.0,3.1,26.0,166.0,,,
DF,INFRAESTRUTURA,MICRO,2007,648353.5,331860.4,0.0,0.0,0.0,,,
ES,AGROPECUARIA,MÉDIA,2010,1544000.0,1525465.6,4.1,22.5,67.5,,5204641.5,2243197.2
ES,INDUSTRIA,GRANDE,2003,20205756.9,20555265.7,4.1,14.3,64.0,19352.0,5785184.4,15500106.3
ES,INDUSTRIA,GRANDE,2005,15257457.7,15294709.6,4.1,43.4,31.4,23773.0,5550614.5,20318169.1
ES,INDUSTRIA,GRANDE,2006,107915846.8,107739563.4,1.5,29.3,98.0,25365.0,5716187.0,22627303.8
ES,INDUSTRIA,GRANDE,2007,12796200.0,12698749.6,1.9,12.0,57.6,24887.0,8034710.6,23778369.8
ES,INDUSTRIA,GRANDE,2008,159787848.2,139214290.1,2.4,33.0,83.0,27491.0,5938958.2,25887972.1
ES,INDUSTRIA,GRANDE,2009,16252428.6,13167614.7,4.5,26.6,61.7,29853.0,7481569.6,19436757.1
ES,INDUSTRIA,GRANDE,2010,28681085.4,25372041.2,2.5,25.6,52.9,28061.0,8184442.7,26949550.4
ES,INDUSTRIA,GRANDE,2012,21753500.0,17452500.0,4.0,15.0,60.0,32004.0,7620945.3,35017542.5
ES,INDUSTRIA,GRANDE,2013,10600215.4,9693465.4,4.7,11.5,58.0,33060.0,8386841.7,31448377.7
ES,INDUSTRIA,GRANDE,2014,24900000.0,23073000.0,6.0,6.0,60.0,34354.0,8314952.0,31508920.3
ES,INDUSTRIA,GRANDE,2015,6000000.0,1621006.5,0.0,0.0,0.0,34395.0,9745447.9,21403367.3
ES,INDUSTRIA,MÉDIA,2005,3972000.0,3982705.0,3.5,12.0,12.0,,5550614.5,20318169.1
ES,INDUSTRIA,MÉDIA,2018,10000000.0,10016855.0,5.1,12.0,48.0,,10720190.8,
ES,INDUSTRIA,PEQUENA,2012,1650000.0,1650000.0,0.0,0.0,0.0,43383.0,7620945.3,35017542.5
ES,INFRAESTRUTURA,GRANDE,2002,36926395.2,38117625.6,2.8,19.7,69.5,,,
ES,INFRAESTRUTURA,GRANDE,2003,42714463.2,46512713.7,1.0,9.0,24.0,,,
ES,INFRAESTRUTURA,GRANDE,2004,14392336.0,10416459.6,3.5,24.0,72.0,,,
ES,INFRAESTRUTURA,GRANDE,2005,450500000.0,454498869.8,3.4,26.0,42.5,,,
ES,INFRAESTRUTURA,GRANDE,2006,47118766.7,47669224.1,3.7,28.8,128.0,,,
ES,INFRAESTRUTURA,GRANDE,2007,17264532.8,16354120.7,3.0,9.6,76.8,,,
ES,INFRAESTRUTURA,GRANDE,2008,17324244.2,8981869.2,2.6,32.8,104.6,,,
ES,INFRAESTRUTURA,GRANDE,2009,15485816.2,14014336.1,3.1,25.6,119.9,,,
ES,INFRAESTRUTURA,GRANDE,2010,24080447.0,16619414.8,3.2,26.2,96.5,,,
ES,INFRAESTRUTURA,GRANDE,2011,5490110.6,2323209.3,2.2,18.1,72.0,,,
ES,INFRAESTRUTURA,GRANDE,2014,45154000.0,41598786.7,3.0,20.0,73.2,,,
ES,INFRAESTRUTURA,GRANDE,2017,118026000.0,58033666.7,3.0,13.3,50.0,,,
ES,INFRAESTRUTURA,GRANDE,2018,202449296.5,60490758.4,2.3,39.0,195.0,,,
ES,INFRAESTRUTURA,GRANDE,2020,275000000.0,6562429.6,3.8,74.0,214.0,,,
ES,INFRAESTRUTURA,MÉDIA,2002,2594352.5,2596815.7,1.0,16.3,38.7,,,
ES,INFRAESTRUTURA,MÉDIA,2012,7145325.0,7130337.3,2.5,48.0,102.0,,,
ES,INFRAESTRUTURA,MÉDIA,2020,20580500.0,19551475.0,1.6,9.0,192.0,,,
ES,INFRAESTRUTURA,PEQUENA,2006,24098072.0,15984873.5,0.0,0.0,0.0,,,
GO,AGROPECUARIA,GRANDE,2007,6595000.0,6619072.3,2.8,84.0,84.0,3621.0,46136599.5,7301351.4
GO,AGROPECUARIA,GRANDE,2010,4910800.0,4899195.5,3.2,24.0,56.0,9465.0,50456232.7,10376549.3
GO,AGROPECUARIA,GRANDE,2013,31780000.0,31780000.0,3.6,18.0,54.0,8868.0,51670394.1,13081509.4
GO,AGROPECUARIA,GRANDE,2020,10974163.8,3100097.2,2.5,36.0,153.6,,,
GO,AGROPECUARIA,GRANDE,2021,15132000.0,0.0,2.1,36.0,156.0,,,
GO,AGROPECUARIA,MICRO,2009,1500000.0,1500355.7,0.0,0.0,0.0,51638.0,47944083.2,9896009.5
GO,AGROPECUARIA,MICRO,2013,639223.0,639223.0,0.0,0.0,0.0,56771.0,51670394.1,13081509.4
GO,AGROPECUARIA,MÉDIA,2002,5053203.3,5383786.9,4.5,18.0,60.0,,46134784.1,9596387.3
GO,INDUSTRIA,GRANDE,2002,2867666.7,2913552.3,4.3,10.0,52.0,30307.0,269929.7,16598442.4
GO,INDUSTRIA,GRANDE,2003,2418946.5,2305391.1,3.6,6.0,72.0,34220.0,241248.0,16801344.0
GO,INDUSTRIA,GRANDE,2004,13275851.5,13535080.9,6.4,18.0,62.0,41581.0,264102.6,18689254.7
GO,INDUSTRIA,GRANDE,2005,23540731.6,23118240.2,3.1,15.1,59.6,47610.0,292503.8,18868590.2
GO,INDUSTRIA,GRANDE,2006,26098744.6,26014351.2,2.5,23.0,64.6,54859.0,282301.9,19853703.3
GO,INDUSTRIA,GRANDE,2007,33190508.3,29422730.3,2.9,23.5,81.5,63789.0,307413.4,22786206.9
GO,INDUSTRIA,GRANDE,2008,36364318.8,34924436.7,3.7,13.4,79.2,66268.0,382258.4,23446549.1
GO,INDUSTRIA,GRANDE,2009,15981205.4,15480668.2,4.0,35.9,82.2,67378.0,422567.9,24710793.2
GO,INDUSTRIA,GRANDE,2010,19642005.3,15705249.9,4.0,17.8,59.5,76209.0,476771.7,26426091.2
GO,INDUSTRIA,GRANDE,2011,31996928.5,26124805.7,2.8,24.0,69.8,87475.0,501258.5,26143697.5
GO,INDUSTRIA,GRANDE,2012,12136443.7,8361707.9,4.8,24.8,54.0,92252.0,575799.0,27158039.8
GO,INDUSTRIA,GRANDE,2013,27002949.3,13645789.4,3.4,14.2,63.2,100166.0,594164.1,27426391.5
GO,INDUSTRIA,GRANDE,2014,31984364.4,30191058.7,4.4,16.2,60.4,106183.0,582407.9,25688475.3
GO,INDUSTRIA,GRANDE,2015,5845283.0,5825033.8,4.3,10.5,56.9,101990.0,477809.5,25927672.9
GO,INDUSTRIA,GRANDE,2016,18111407.5,16808897.0,3.7,18.0,54.0,94910.0,385236.2,23594273.9
