uf,ano,setor,pib
MG,2017,AGROPECUARIA,17574856218.0
MS,2017,AGROPECUARIA,9303890093.0
MT,2017,AGROPECUARIA,13790516818.0
PA,2017,AGROPECUARIA,10248819696.0
PB,2017,AGROPECUARIA,1319859693.0
PE,2017,AGROPECUARIA,3694986780.0
PI,2017,AGROPECUARIA,2320925725.0
PR,2017,AGROPECUARIA,21090136166.0
RJ,2017,AGROPECUARIA,1791069677.0
RN,2017,AGROPECUARIA,1322524759.0
RO,2017,AGROPECUARIA,3597291344.0
RR,2017,AGROPECUARIA,372865672.0
RS,2017,AGROPECUARIA,20574683686.0
SC,2017,AGROPECUARIA,8699561263.0
SE,2017,AGROPECUARIA,1203632293.0
SP,2017,AGROPECUARIA,22351283548.0
TO,2017,AGROPECUARIA,2545960831.0
AC,2002,INDUSTRIA,674487984.0
AL,2002,INDUSTRIA,4119723174.0
AM,2002,INDUSTRIA,14761990752.0
AP,2002,INDUSTRIA,611843857.0
BA,2002,INDUSTRIA,22508051979.0
CE,2002,INDUSTRIA,10774651871.0
DF,2002,INDUSTRIA,7769858713.0
ES,2002,INDUSTRIA,15509870489.0
GO,2002,INDUSTRIA,16598442379.0
MA,2002,INDUSTRIA,5190489068.0
MG,2002,INDUSTRIA,57545157605.0
MS,2002,INDUSTRIA,4586574574.0
MT,2002,INDUSTRIA,5784375666.0
PA,2002,INDUSTRIA,11641196798.0
PB,2002,INDUSTRIA,4225566962.0
PE,2002,INDUSTRIA,13521923017.0
PI,2002,INDUSTRIA,1767372744.0
PR,2002,INDUSTRIA,44279294645.0
RJ,2002,INDUSTRIA,82112316948.0
RN,2002,INDUSTRIA,6807373952.0
RO,2002,INDUSTRIA,2262769029.0
RR,2002,INDUSTRIA,634943036.0
RS,2002,INDUSTRIA,42638302578.0
SC,2002,INDUSTRIA,28038724986.0
SE,2002,INDUSTRIA,5657862259.0
SP,2002,INDUSTRIA,224570265520.0
TO,2002,INDUSTRIA,1645814549.0
AC,2003,INDUSTRIA,491376419.0
AL,2003,INDUSTRIA,4224685094.0
AM,2003,INDUSTRIA,15839094373.0
AP,2003,INDUSTRIA,644374664.0
BA,2003,INDUSTRIA,23341294693.0
CE,2003,INDUSTRIA,10144264905.0
DF,2003,INDUSTRIA,6038624794.0
ES,2003,INDUSTRIA,15500106258.0
GO,2003,INDUSTRIA,16801344045.0
MA,2003,INDUSTRIA,5981413649.0
MG,2003,INDUSTRIA,61973851918.0
MS,2003,INDUSTRIA,5294267452.0
MT,2003,INDUSTRIA,6017620787.0
PA,2003,INDUSTRIA,11522502421.0
PB,2003,INDUSTRIA,4532858040.0
PE,2003,INDUSTRIA,11451098176.0
PI,2003,INDUSTRIA,1497960982.0
PR,2003,INDUSTRIA,47124825150.0
RJ,2003,INDUSTRIA,83084477962.0
RN,2003,INDUSTRIA,5544196373.0
RO,2003,INDUSTRIA,2025786344.0
RR,2003,INDUSTRIA,375208962.0
RS,2003,INDUSTRIA,45567497020.0
SC,2003,INDUSTRIA,28794359890.0
SE,2003,INDUSTRIA,5864505467.0
SP,2003,INDUSTRIA,239147053509.0
TO,2003,INDUSTRIA,1507258220.0
AC,2004,INDUSTRIA,648747003.0
AL,2004,INDUSTRIA,4481916415.0
AM,2004,INDUSTRIA,17434576991.0
AP,2004,INDUSTRIA,554199673.0
BA,2004,INDUSTRIA,26528210116.0
CE,2004,INDUSTRIA,11526821614.0
DF,2004,INDUSTRIA,7082152692.0
ES,2004,INDUSTRIA,17923103776.0
GO,2004,INDUSTRIA,18689254741.0
MA,2004,INDUSTRIA,5325284233.0
MG,2004,INDUSTRIA,74698031929.0
MS,2004,INDUSTRIA,5978078489.0
MT,2004,INDUSTRIA,8466274152.0
PA,2004,INDUSTRIA,14984661764.0
PB,2004,INDUSTRIA,4407795392.0
PE,2004,INDUSTRIA,13532418400.0
PI,2004,INDUSTRIA,1720184214.0
PR,2004,INDUSTRIA,51691036307.0
RJ,2004,INDUSTRIA,93779870821.0
RN,2004,INDUSTRIA,6376600006.0
RO,2004,INDUSTRIA,2588308797.0
RR,2004,INDUSTRIA,436101068.0
RS,2004,INDUSTRIA,50355628286.0
SC,2004,INDUSTRIA,32823154440.0
SE,2004,INDUSTRIA,6268812174.0
SP,2004,INDUSTRIA,255154297237.0
TO,2004,INDUSTRIA,1905446266.0
AC,2005,INDUSTRIA,598244130.0
AL,2005,INDUSTRIA,4489421549.0
AM,2005,INDUSTRIA,17595737515.0
AP,2005,INDUSTRIA,543350439.0
BA,2005,INDUSTRIA,28788922854.0
CE,2005,INDUSTRIA,11141282405.0
DF,2005,INDUSTRIA,7773817003.0
ES,2005,INDUSTRIA,20318169116.0
GO,2005,INDUSTRIA,18868590198.0
MA,2005,INDUSTRIA,5260986862.0
MG,2005,INDUSTRIA,74847851616.0
MS,2005,INDUSTRIA,5368120052.0
MT,2005,INDUSTRIA,7477625417.0
PA,2005,INDUSTRIA,14531505519.0
PB,2005,INDUSTRIA,4132270484.0
PE,2005,INDUSTRIA,12671027981.0
PI,2005,INDUSTRIA,1957747039.0
PR,2005,INDUSTRIA,48671949220.0
RJ,2005,INDUSTRIA,107168055644.0
RN,2005,INDUSTRIA,7329615514.0
RO,2005,INDUSTRIA,2715653057.0
RR,2005,INDUSTRIA,443992111.0
RS,2005,INDUSTRIA,47018661112.0
SC,2005,INDUSTRIA,32107157858.0
SE,2005,INDUSTRIA,5925357781.0
SP,2005,INDUSTRIA,265153102935.0
TO,2005,INDUSTRIA,1824789309.0
AC,2006,INDUSTRIA,588810602.0
AL,2006,INDUSTRIA,4576436797.0
AM,2006,INDUSTRIA,19981697365.0
AP,2006,INDUSTRIA,530637384.0
BA,2006,INDUSTRIA,27863970820.0
CE,2006,INDUSTRIA,11854859695.0
DF,2006,INDUSTRIA,6351392199.0
ES,2006,INDUSTRIA,22627303844.0
GO,2006,INDUSTRIA,19853703296.0
MA,2006,INDUSTRIA,8539252403.0
MG,2006,INDUSTRIA,75592049739.0
MS,2006,INDUSTRIA,5936794737.0
MT,2006,INDUSTRIA,5971476101.0
PA,2006,INDUSTRIA,15322574826.0
PB,2006,INDUSTRIA,4548441565.0
PE,2006,INDUSTRIA,12201026468.0
PI,2006,INDUSTRIA,3303562062.0
PR,2006,INDUSTRIA,47812348657.0
RJ,2006,INDUSTRIA,119486767663.0
RN,2006,INDUSTRIA,7534996515.0
RO,2006,INDUSTRIA,2978170447.0
RR,2006,INDUSTRIA,648344167.0
RS,2006,INDUSTRIA,44441307822.0
SC,2006,INDUSTRIA,34157842680.0
SE,2006,INDUSTRIA,5971435951.0
SP,2006,INDUSTRIA,253805864237.0
TO,2006,INDUSTRIA,1741451193.0
AC,2007,INDUSTRIA,757470327.0
AL,2007,INDUSTRIA,5104842057.0
AM,2007,INDUSTRIA,19360782570.0
AP,2007,INDUSTRIA,624305588.0
BA,2007,INDUSTRIA,28374185035.0
CE,2007,INDUSTRIA,12052018616.0
DF,2007,INDUSTRIA,6628609035.0
ES,2007,INDUSTRIA,23778369842.0
GO,2007,INDUSTRIA,22786206886.0
MA,2007,INDUSTRIA,6275205382.0
MG,2007,INDUSTRIA,81393538734.0
MS,2007,INDUSTRIA,5405654807.0
MT,2007,INDUSTRIA,6551433013.0
PA,2007,INDUSTRIA,15120116744.0
PB,2007,INDUSTRIA,4515161012.0
PE,2007,INDUSTRIA,12901224410.0
PI,2007,INDUSTRIA,2079548672.0
PR,2007,INDUSTRIA,52386128656.0
RJ,2007,INDUSTRIA,111489640706.0
RN,2007,INDUSTRIA,8460481531.0
RO,2007,INDUSTRIA,2784534315.0
RR,2007,INDUSTRIA,453692138.0
RS,2007,INDUSTRIA,45659708398.0
SC,2007,INDUSTRIA,39209592580.0
SE,2007,INDUSTRIA,6317494281.0
SP,2007,INDUSTRIA,273618466255.0
TO,2007,INDUSTRIA,2107831177.0
AC,2008,INDUSTRIA,681922808.0
AL,2008,INDUSTRIA,4927760356.0
AM,2008,INDUSTRIA,18769937258.0
AP,2008,INDUSTRIA,779285294.0
BA,2008,INDUSTRIA,30071695855.0
CE,2008,INDUSTRIA,13221436508.0
DF,2008,INDUSTRIA,6662689301.0
ES,2008,INDUSTRIA,25887972073.0
GO,2008,INDUSTRIA,23446549099.0
MA,2008,INDUSTRIA,7089511846.0
MG,2008,INDUSTRIA,88868976177.0
MS,2008,INDUSTRIA,6173033082.0
MT,2008,INDUSTRIA,7552200504.0
PA,2008,INDUSTRIA,19807313188.0
PB,2008,INDUSTRIA,4848276116.0
PE,2008,INDUSTRIA,13411199892.0
PI,2008,INDUSTRIA,1867142788.0
PR,2008,INDUSTRIA,51872208179.0
RJ,2008,INDUSTRIA,126000382159.0
RN,2008,INDUSTRIA,8479055166.0
RO,2008,INDUSTRIA,2866780685.0
RR,2008,INDUSTRIA,513490087.0
RS,2008,INDUSTRIA,47872739179.0
SC,2008,INDUSTRIA,39549835122.0
SE,2008,INDUSTRIA,7342623286.0
SP,2008,INDUSTRIA,274409094227.0
TO,2008,INDUSTRIA,2332436252.0
AC,2009,INDUSTRIA,1056411651.0
AL,2009,INDUSTRIA,4308792416.0
AM,2009,INDUSTRIA,18054198440.0
AP,2009,INDUSTRIA,541857643.0
BA,2009,INDUSTRIA,32827594700.0
CE,2009,INDUSTRIA,14208540414.0
DF,2009,INDUSTRIA,8305282594.0
ES,2009,INDUSTRIA,19436757117.0
GO,2009,INDUSTRIA,24710793179.0
MA,2009,INDUSTRIA,6596116481.0
MG,2009,INDUSTRIA,81142352148.0
MS,2009,INDUSTRIA,6736255133.0
MT,2009,INDUSTRIA,7730181664.0
PA,2009,INDUSTRIA,13792461461.0
PB,2009,INDUSTRIA,5205030714.0
PE,2009,INDUSTRIA,14603842288.0
PI,2009,INDUSTRIA,2397406320.0
PR,2009,INDUSTRIA,52548657562.0
RJ,2009,INDUSTRIA,101009503370.0
RN,2009,INDUSTRIA,6318817047.0
RO,2009,INDUSTRIA,3485798048.0
RR,2009,INDUSTRIA,618434582.0
RS,2009,INDUSTRIA,52223277657.0
SC,2009,INDUSTRIA,37313640413.0
SE,2009,INDUSTRIA,5683108008.0
SP,2009,INDUSTRIA,267458050510.0
TO,2009,INDUSTRIA,2333756035.0
AC,2010,INDUSTRIA,1091621583.0
AL,2010,INDUSTRIA,4708284786.0
AM,2010,INDUSTRIA,21495795175.0
AP,2010,INDUSTRIA,583103998.0
BA,2010,INDUSTRIA,36739895073.0
CE,2010,INDUSTRIA,15177895746.0
DF,2010,INDUSTRIA,9184148921.0
ES,2010,INDUSTRIA,26949550397.0
GO,2010,INDUSTRIA,26426091170.0
MA,2010,INDUSTRIA,6883369384.0
MG,2010,INDUSTRIA,101270554353.0
MS,2010,INDUSTRIA,9380762955.0
MT,2010,INDUSTRIA,9770833412.0
PA,2010,INDUSTRIA,26792382334.0
PB,2010,INDUSTRIA,5436505265.0
PE,2010,INDUSTRIA,18191729740.0
PI,2010,INDUSTRIA,3202753451.0
PR,2010,INDUSTRIA,54221391000.0
RJ,2010,INDUSTRIA,113193367844.0
RN,2010,INDUSTRIA,7683076084.0
RO,2010,INDUSTRIA,4779253946.0
RR,2010,INDUSTRIA,818733164.0
RS,2010,INDUSTRIA,57499409461.0
SC,2010,INDUSTRIA,42611872258.0
SE,2010,INDUSTRIA,6858592448.0
SP,2010,INDUSTRIA,290102478078.0
TO,2010,INDUSTRIA,3104547972.0
AC,2011,INDUSTRIA,870271089.0
AL,2011,INDUSTRIA,6010281704.0
AM,2011,INDUSTRIA,23153171597.0
AP,2011,INDUSTRIA,737744629.0
BA,2011,INDUSTRIA,31973856547.0
CE,2011,INDUSTRIA,15388280756.0
DF,2011,INDUSTRIA,8656450169.0
ES,2011,INDUSTRIA,34311938327.0
GO,2011,INDUSTRIA,26143697450.0
MA,2011,INDUSTRIA,7666282272.0
MG,2011,INDUSTRIA,107045162484.0
MS,2011,INDUSTRIA,10105946756.0
MT,2011,INDUSTRIA,10155088160.0
PA,2011,INDUSTRIA,31976110340.0
PB,2011,INDUSTRIA,5692013644.0
PE,2011,INDUSTRIA,18650089812.0
PI,2011,INDUSTRIA,3491031232.0
PR,2011,INDUSTRIA,57243065269.0
RJ,2011,INDUSTRIA,125129839380.0
RN,2011,INDUSTRIA,8268156069.0
RO,2011,INDUSTRIA,5465930548.0
RR,2011,INDUSTRIA,753113069.0
RS,2011,INDUSTRIA,56727694525.0
SC,2011,INDUSTRIA,45766448469.0
SE,2011,INDUSTRIA,7139047198.0
SP,2011,INDUSTRIA,281908732517.0
TO,2011,INDUSTRIA,2959717801.0
AC,2012,INDUSTRIA,888919092.0
AL,2012,INDUSTRIA,5341849428.0
AM,2012,INDUSTRIA,19592774500.0
AP,2012,INDUSTRIA,1045936132.0
BA,2012,INDUSTRIA,30055663851.0
CE,2012,INDUSTRIA,15233686655.0
DF,2012,INDUSTRIA,8301033530.0
ES,2012,INDUSTRIA,35017542479.0
GO,2012,INDUSTRIA,27158039827.0
MA,2012,INDUSTRIA,8914056239.0
MG,2012,INDUSTRIA,102743416583.0
MS,2012,INDUSTRIA,10535261961.0
MT,2012,INDUSTRIA,9463081821.0
PA,2012,INDUSTRIA,27786102162.0
PB,2012,INDUSTRIA,6235259493.0
PE,2012,INDUSTRIA,20423231504.0
PI,2012,INDUSTRIA,3315112820.0
PR,2012,INDUSTRIA,55567180080.0
RJ,2012,INDUSTRIA,136113379193.0
RN,2012,INDUSTRIA,8776455894.0
RO,2012,INDUSTRIA,4751124918.0
RR,2012,INDUSTRIA,652158090.0
RS,2012,INDUSTRIA,55929036572.0
SC,2012,INDUSTRIA,44784027907.0
SE,2012,INDUSTRIA,7660575507.0
SP,2012,INDUSTRIA,262191752117.0
TO,2012,INDUSTRIA,2966582510.0
AC,2013,INDUSTRIA,880740124.0
AL,2013,INDUSTRIA,4713670123.0
AM,2013,INDUSTRIA,20222782091.0
AP,2013,INDUSTRIA,1232413073.0
BA,2013,INDUSTRIA,29015289594.0
CE,2013,INDUSTRIA,15392239123.0
DF,2013,INDUSTRIA,7709261834.0
ES,2013,INDUSTRIA,31448377706.0
GO,2013,INDUSTRIA,27426391486.0
MA,2013,INDUSTRIA,9050838451.0
MG,2013,INDUSTRIA,104353888210.0
MS,2013,INDUSTRIA,10767659189.0
MT,2013,INDUSTRIA,10999562470.0
PA,2013,INDUSTRIA,29141573354.0
PB,2013,INDUSTRIA,5834029994.0
PE,2013,INDUSTRIA,20685649536.0
PI,2013,INDUSTRIA,2730605489.0
PR,2013,INDUSTRIA,59664365221.0
RJ,2013,INDUSTRIA,129475941104.0
RN,2013,INDUSTRIA,8541647069.0
RO,2013,INDUSTRIA,4248987966.0
RR,2013,INDUSTRIA,858160980.0
RS,2013,INDUSTRIA,55248069296.0
SC,2013,INDUSTRIA,44328111790.0
SE,2013,INDUSTRIA,6425366289.0
SP,2013,INDUSTRIA,257024759955.0
TO,2013,INDUSTRIA,2860465968.0
AC,2014,INDUSTRIA,1033871360.0
AL,2014,INDUSTRIA,4385624670.0
AM,2014,INDUSTRIA,18283808665.0
AP,2014,INDUSTRIA,953981084.0
BA,2014,INDUSTRIA,30350637698.0
CE,2014,INDUSTRIA,15653413104.0
DF,2014,INDUSTRIA,8370400828.0
ES,2014,INDUSTRIA,31508920313.0
GO,2014,INDUSTRIA,25688475298.0
MA,2014,INDUSTRIA,9062592303.0
MG,2014,INDUSTRIA,96560413493.0
MS,2014,INDUSTRIA,11227592586.0
MT,2014,INDUSTRIA,11673493206.0
PA,2014,INDUSTRIA,24573501913.0
PB,2014,INDUSTRIA,5789939667.0
PE,2014,INDUSTRIA,18290896542.0
PI,2014,INDUSTRIA,3985181131.0
PR,2014,INDUSTRIA,55885531778.0
RJ,2014,INDUSTRIA,126647707227.0
RN,2014,INDUSTRIA,7789616077.0
RO,2014,INDUSTRIA,4020184964.0
RR,2014,INDUSTRIA,745080764.0
RS,2014,INDUSTRIA,53448750285.0
SC,2014,INDUSTRIA,45826652552.0
SE,2014,INDUSTRIA,6121156180.0
SP,2014,INDUSTRIA,252093902118.0
TO,2014,INDUSTRIA,2773827907.0
AC,2015,INDUSTRIA,856411502.0
AL,2015,INDUSTRIA,4409744082.0
AM,2015,INDUSTRIA,16617109734.0
AP,2015,INDUSTRIA,1136873150.0
BA,2015,INDUSTRIA,32759140355.0
CE,2015,INDUSTRIA,15375087768.0
DF,2015,INDUSTRIA,6855852464.0
ES,2015,INDUSTRIA,21403367326.0
GO,2015,INDUSTRIA,25927672865.0
MA,2015,INDUSTRIA,9402036470.0
MG,2015,INDUSTRIA,81815441863.0
MS,2015,INDUSTRIA,11230216409.0
MT,2015,INDUSTRIA,11743732301.0
PA,2015,INDUSTRIA,22758900400.0
PB,2015,INDUSTRIA,5902639526.0
PE,2015,INDUSTRIA,18444717523.0
PI,2015,INDUSTRIA,3258892604.0
PR,2015,INDUSTRIA,56975846925.0
RJ,2015,INDUSTRIA,90029847718.0
RN,2015,INDUSTRIA,7366695731.0
RO,2015,INDUSTRIA,4141603625.0
RR,2015,INDUSTRIA,617303263.0
RS,2015,INDUSTRIA,53106320497.0
SC,2015,INDUSTRIA,41331210799.0
SE,2015,INDUSTRIA,5382915835.0
SP,2015,INDUSTRIA,244589491788.0
TO,2015,INDUSTRIA,2619464316.0
AC,2016,INDUSTRIA,682338024.0
AL,2016,INDUSTRIA,3515130395.0
AM,2016,INDUSTRIA,16715187560.0
AP,2016,INDUSTRIA,1007329491.0
BA,2016,INDUSTRIA,34325906693.0
CE,2016,INDUSTRIA,14833948440.0
DF,2016,INDUSTRIA,6129645857.0
ES,2016,INDUSTRIA,14331459924.0
GO,2016,INDUSTRIA,23594273859.0
MA,2016,INDUSTRIA,8358277756.0
MG,2016,INDUSTRIA,75131251527.0
MS,2016,INDUSTRIA,11849122140.0
MT,2016,INDUSTRIA,11626777918.0
PA,2016,INDUSTRIA,20001808891.0
PB,2016,INDUSTRIA,5215443898.0
PE,2016,INDUSTRIA,18000503163.0
PI,2016,INDUSTRIA,2977902544.0
PR,2016,INDUSTRIA,57291251731.0
RJ,2016,INDUSTRIA,62675982881.0
RN,2016,INDUSTRIA,6404892856.0
RO,2016,INDUSTRIA,4169585316.0
RR,2016,INDUSTRIA,553484344.0
RS,2016,INDUSTRIA,51869525984.0
SC,2016,INDUSTRIA,37508911341.0
SE,2016,INDUSTRIA,4424243409.0
SP,2016,INDUSTRIA,234389938804.0
TO,2016,INDUSTRIA,2414354601.0
AC,2017,INDUSTRIA,625765650.0
AL,2017,INDUSTRIA,3683831148.0
AM,2017,INDUSTRIA,15932029946.0
AP,2017,INDUSTRIA,945157123.0
BA,2017,INDUSTRIA,32432703576.0
CE,2017,INDUSTRIA,13585657365.0
DF,2017,INDUSTRIA,5168647571.0
ES,2017,INDUSTRIA,13024498759.0
GO,2017,INDUSTRIA,22690724717.0
MA,2017,INDUSTRIA,8247515537.0
MG,2017,INDUSTRIA,78581752667.0
MS,2017,INDUSTRIA,11680463992.0
MT,2017,INDUSTRIA,10424911209.0
PA,2017,INDUSTRIA,26797643509.0
PB,2017,INDUSTRIA,5161631913.0
PE,2017,INDUSTRIA,19944762171.0
PI,2017,INDUSTRIA,3009604285.0
PR,2017,INDUSTRIA,56791169346.0
RJ,2017,INDUSTRIA,64028967709.0
RN,2017,INDUSTRIA,6543002732.0
RO,2017,INDUSTRIA,5012221684.0
RR,2017,INDUSTRIA,587550078.0
RS,2017,INDUSTRIA,50224852849.0
SC,2017,INDUSTRIA,38680587979.0
SE,2017,INDUSTRIA,4262865904.0
SP,2017,INDUSTRIA,231815547349.0
TO,2017,INDUSTRIA,2780148432.0
